"name","max_players","min_players","min_age","playing_time","year_published","Category-1","Category-2","Category-3","Expansion_available","Mechanic-1","Mechanic-2","Mechanic-3","Publisher-1","Publisher-2","Publisher-3","average_rating"
"Dahschur: Die Rote Pyramide","4","2","10","90","2012","Ancient","Mythology",,"Yes","Commodity Speculation","Hand Management","Modular Board","Mücke Spiele",,,"6.9"
"Daimyo","4","2","12","60","2005","Ancient","Wargame",,"No","Area Movement","Modular Board","Simultaneous Action Selection","Red Omega Studio","TENKIGAMES",,"6.4"
"DAK","2","2","16","360","1997","Wargame","World War II",,"No","Hex-and-Counter","Simulation",,"The Gamers",,,"8"
"Dakota","5","3","10","90","2010","American West",,,"No","Area Control / Area Influence","Worker Placement",,"Devir","Heidelberger Spieleverlag","Hobby Japan","6"
"Dale of Merchants","4","2","10","40","2015","Animals","Card Game","Fantasy","Yes","Card Drafting","Deck / Pool Building","Dice Rolling","BGL","Devir","Fullcap Games","7.4"
"Dale of Merchants 2","4","2","10","40","2016","Animals","Card Game","Fantasy","Yes","Card Drafting","Deck / Pool Building","Dice Rolling","BGL","Fullcap Games","Snowdale Design","7.6"
"Damage Report","6","2","10","45","2014","Real-time","Science Fiction",,"Yes","Co-operative Play","Modular Board","Pick-up and Deliver","Break From Reality Games",,,"6.6"
"Dampfross","6","2","10","90","1979","Racing","Trains",,"Yes","Crayon Rail System","Route/Network Building",,"Alga","Bütehorn Spiele","Laurin Verlag","6.3"
"Dampfross 2","6","2","10","75","1985","Racing","Trains",,"No","Crayon Rail System",,,"Schmidt Spiele",,,"7.1"
"Dancing Dice","6","2","8","30","2004","Dice",,,"No","Dice Rolling","Player Elimination",,"dV Giochi","Mayfair Games",,"5.7"
"Danger","5","3","8","30","2001","Card Game",,,"No","Set Collection",,,"Queen Games",,,"4.3"
"Dante's Inferno","6","3","12","90","2003","Fantasy","Horror","Religious","No","Tile Placement",,,"Twilight Creations"," Inc.",,"4.7"
"Darjeeling","5","2","12","60","2007","Economic","Farming",,"No","Commodity Speculation","Grid Movement","Modular Board","ABACUSSPIELE","Corfix","Rio Grande Games","6.6"
"Dark Age Z","5","2","12","90","2015","Medieval","Zombies",,"No","Hand Management",,,"Smoothie Games",,,"7.4"
