"name","max_players","min_players","min_age","playing_time","year_published","Category-1","Category-2","Category-3","Expansion_available","Mechanic-1","Mechanic-2","Mechanic-3","Publisher-1","Publisher-2","Publisher-3","average_rating"
"""Oh My God! There's An Axe In My Head."" The Game of International Diplomacy ","6","2","16","60","2014","Humor","Negotiation","Political","No","Dice Rolling","Trading","Variable Phase Order","Game Company No. 3",,,"6.3"
"1 Stein + Co.","4","2","8","30","2003","Abstract Strategy",,,"No","Area Enclosure","Tile Placement",,"Goliath B.V.","Holzinsel","NFFX Design","6.1"
"10 Days in Europe","4","2","10","30","2002","Aviation / Flight","Educational","Exploration","No","Hand Management","Route/Network Building",,"Out of the Box Publishing","Schmidt Spiele",,"6.6"
"10 Days in the USA","4","2","10","30","2003","Travel",,,"No","Hand Management","Route/Network Building","Tile Placement","Out of the Box Publishing",,,"6.5"
"1001 Karawane","5","2","10","60","2007","Bluffing","Exploration","Travel","Yes","Memory","Trading",,"Argentum Verlag",,,"5.1"
"1066: End of the Dark Ages","4","2","12","240","2006","Medieval","Political","Wargame","No","Grid Movement",,,"Decision Games (I)",,,"6"
"11 nimmt!","7","2","8","30","2010","Card Game",,,"No","Hand Management",,,"999 Games","AMIGO Spiel + Freizeit GmbH","Asmodee","6.3"
"12 Days of Christmas","8","3","8","30","2015","Card Game",,,"No","Hand Management","Trick-taking",,"Eagle-Gryphon Games","Hobby World",,"5.9"
"12 Thieves","4","2","8","45","2006","Arabian",,,"No","Area Movement","Hand Management",,"Queen Games","Piatnik",,"6.4"
"13 Days: The Cuban Missile Crisis","2","2","10","45","2016","Bluffing","Political",,"No","Area Control / Area Influence","Campaign / Battle Card Driven","Hand Management","Jolly Roger Games","Ludonova","Ultra PRO","7.7"
"13 Dead End Drive","4","2","9","45","1993","Bluffing","Deduction","Murder/Mystery","No","Roll / Spin and Move",,,"Hasbro","MB Giochi","MB Jeux","5.8"
"13: The Colonies in Revolt","2","2","12","360","1985","Age of Reason","American Indian Wars","American Revolutionary War","No","Dice Rolling","Hex-and-Counter",,"TSR",,,"5.8"
"1313 Dead End Drive","4","2","8","30","2002","Bluffing","Deduction","Dice","No","Roll / Spin and Move",,,"Milton Bradley","Parker Brothers",,"5.8"
"15 Dias: The Spanish Golden Age","8","2","12","60","2014","Card Game","Negotiation","Political","No","Hand Management","Variable Phase Order",,"Asylum Games (Board Games)",,,"6.8"
"1655: Habemus Papam","4","3","10","30","2010","Card Game","Pike and Shot","Religious","No","Auction/Bidding","Set Collection",,"999 Games","DDD Verlag GmbH",,"6.5"
"1714: The Case of the Catalans","5","2","12","120","2014","Age of Reason","Negotiation","Wargame","No","Card Drafting","Variable Phase Order",,"Devir",,,"7.3"
"1775: Rebellion","4","2","10","120","2013","Age of Reason","American Indian Wars","American Revolutionary War","No","Area Movement","Campaign / Battle Card Driven","Dice Rolling","Academy Games","ASYNCRON games","Ediciones MasQueOca","7.8"
"1805: Sea of Glory","2","2","12","480","2009","Bluffing","Napoleonic","Nautical","No","Chit-Pull System","Dice Rolling","Hex-and-Counter","GMT Games",,,"7.5"
"1806: Rossbach Avenged","4","2","12","120","1998","Napoleonic","Wargame",,"No","Action Point Allowance System","Hex-and-Counter","Simulation","OSG (Operational Studies Group)",,,"7"
"1807: The Eagles Turn East","2","2","12","360","1994","Napoleonic","Wargame",,"No","Hex-and-Counter",,,"Clash of Arms Games",,,"6.8"
"1809: Napoleon's Danube Campaign","2","2","12","240","1984","Napoleonic","Wargame",,"No","Hex-and-Counter","Simulation",,"Victory Games (I)",,,"6.4"
"1812: The Invasion of Canada","5","2","10","90","2012","Educational","Wargame",,"No","Area Movement","Campaign / Battle Card Driven","Dice Rolling","Academy Games","ASYNCRON games","Schwerkraft-Verlag","7.4"
"1815: The Waterloo Campaign","2","2","12","360","1975","Napoleonic","Wargame",,"No","Hex-and-Counter",,,"GDW Games","Kokusai-Tsushin Co."," Ltd. (?????)","6.5"
"1822: The Railways of Great Britain","7","3","12","420","2016","Economic","Trains","Transportation","No","Auction/Bidding","Route/Network Building","Stock Holding","All-Aboard Games",,,"8.4"
"1825 Unit 1","5","2","14","180","1995","Trains","Transportation",,"Yes","Modular Board","Route/Network Building","Stock Holding","Hartland Trefoil Ltd.","Tresham Games",,"6.8"
"1825 Unit 2","4","2","12","180","2000","Trains","Transportation",,"Yes","Route/Network Building","Stock Holding","Tile Placement","Tresham Games",,,"7.5"
"1825 Unit 3","2","2","14","120","2004","Trains","Transportation",,"Yes","Route/Network Building","Stock Holding","Tile Placement","Tresham Games",,,"7.6"
"1829 Northern Board","9","2","12","360","1981","Economic","Trains",,"Yes","Route/Network Building","Stock Holding","Tile Placement","Hartland Trefoil Ltd.",,,"7"
"1830: Railways & Robber Barons","7","2","14","360","1986","Economic","Trains","Transportation","Yes","Auction/Bidding","Route/Network Building","Stock Holding","999 Games","Avalon Hill","Lookout Games","7.8"
"1844: Switzerland","7","3","12","300","2003","Economic","Trains",,"No","Auction/Bidding","Route/Network Building","Stock Holding","(Self-Published)","Double-O Games","Lookout Games","8.4"
"1844/1854","7","3","12","240","2016","Economic","Trains",,"No","Auction/Bidding","Route/Network Building","Stock Holding","Lookout Games","Mayfair Games",,"8.3"
"1846: The Race for the Midwest","5","3","14","240","2005","Economic","Trains",,"No","Route/Network Building","Stock Holding","Tile Placement","Deep Thought Games"," LLC","GMT Games","8.1"
"1848: Australia","6","3","0","360","2007","Economic","Trains","Transportation","No","Auction/Bidding","Route/Network Building","Stock Holding","(Self-Published)","Double-O Games",,"7.9"
"1860: Railways on the Isle of Wight","4","2","13","240","2004","Economic","Trains","Transportation","Yes","Auction/Bidding","Route/Network Building","Stock Holding","JKLM Games","Prime Games","Z-Man Games","7.9"
"1861: The Railways of the Russian Empire","6","3","12","360","2006","Economic","Trains",,"Yes","Auction/Bidding","Route/Network Building","Stock Holding","All-Aboard Games","JKLM Games","Lookout Games","7.6"
"1862: Railway Mania in the Eastern Counties","8","2","12","300","2013","Economic","Trains",,"No","Auction/Bidding","Route/Network Building","Stock Holding","LMN+B"," Ltd",,"8.2"
"1865: Sardinia","4","2","14","240","2011","Economic","Trains","Transportation","No","Auction/Bidding","Route/Network Building","Stock Holding","Gotha Games",,,"7.7"
"1880: China","7","3","13","300","2010","Economic","Trains",,"No","Auction/Bidding","Route/Network Building","Stock Holding","(Self-Published)","Double-O Games",,"8.2"
"1895 Namibia","3","3","12","180","2004","Economic","Trains","Transportation","No","Route/Network Building","Stock Holding","Tile Placement","(Self-Published)",,,"6.9"
"1914: Glory's End","2","2","12","180","1994","Wargame","World War I",,"No","Dice Rolling","Hex-and-Counter","Simulation","Kokusai-Tsushin Co."," Ltd. (?????)","XTR Corp","6.3"
"1914: Offensive à outrance","4","2","0","17280","2013","Wargame","World War I",,"No","Hex-and-Counter",,,"GMT Games",,,"8"
"1918: Storm in the West","2","2","12","240","1992","Wargame","World War I",,"Yes","Hex-and-Counter",,,"Kokusai-Tsushin Co."," Ltd. (?????)","XTR Corp","6.8"
"1936: Guerra Civil","2","2","12","90","2006","Card Game","Civil War","Political","Yes","Card Drafting","Hand Management","Simulation","Ediciones Rotura",,,"7.7"
"1955: The War of Espionage","2","2","13","45","2011","Card Game","Spies/Secret Agents",,"Yes","Hand Management",,,"APE Games","Living Worlds Games",,"6.2"
"1960: The Making of the President","2","2","12","90","2007","Political",,,"No","Area Control / Area Influence","Campaign / Battle Card Driven","Hand Management","Filosofia Éditions","Gabinete Lúdico","GMT Games","7.6"
"1984: Animal Farm","5","3","12","90","2012","Animals","Bluffing","Negotiation","Yes","Area Control / Area Influence","Partnerships",,"Ku?nia Gier",,,"5.7"
"1989: Dawn of Freedom","2","2","12","150","2012","Political",,,"No","Area Control / Area Influence","Campaign / Battle Card Driven","Dice Rolling","Bard Centrum Gier","GMT Games","Hexasim","7.9"
"1st & Goal","4","2","13","150","2011","Card Game","Dice","Sports","Yes","Dice Rolling","Simultaneous Action Selection",,"R&R Games",,,"6.7"
"2019: The ARCTIC","4","2","12","120","2011","Economic","Exploration","Fighting","No","Area Control / Area Influence","Area Enclosure","Set Collection","Alchemicus.pl","Schwerkraft-Verlag","SINONIS","6.8"
"2038: Tycoons of the Asteroid Belt","6","3","14","360","1995","Economic","Science Fiction","Space Exploration","Yes","Auction/Bidding","Pick-up and Deliver","Route/Network Building","Prism Games","TimJim Games",,"7"
"20th Century","5","3","13","120","2010","City Building","Civilization","Economic","No","Auction/Bidding","Memory","Point to Point Movement","Czech Games Edition","Heidelberger Spieleverlag","IELLO","6.9"
"20th Century Limited","5","2","14","60","2015","Card Game","Economic","Trains","No","Route/Network Building",,,"Rio Grande Games",,,"6.9"
"21 Motines","5","3","10","45","2011","Economic","Industry / Manufacturing","Nautical","No","Hand Management","Variable Phase Order","Worker Placement","(Web published)","Asylum Games (Board Games)","Kokörîn Kolorado","6.8"
"221B Baker St.: Sherlock Holmes & the Time Machine","6","2","12","45","1996","Deduction","Murder/Mystery","Novel-based","No","Roll / Spin and Move",,,"Grow Jogos e Brinquedos","John N. Hansen Co."," Inc.","5.8"
"221B Baker Street: The Master Detective Game","6","2","10","90","1975","Deduction","Murder/Mystery","Novel-based","Yes","Paper-and-Pencil","Role Playing","Roll / Spin and Move","Gammon Games","Gibsons Games","Grow Jogos e Brinquedos","6"
"27th Passenger: A Hunt On Rails","6","3","10","45","2014","Card Game","Deduction","Party Game","Yes","Hand Management","Paper-and-Pencil","Player Elimination","Purple Games",,,"7"
"3 Kings","8","3","14","90","2015","Bluffing","Deduction","Fantasy","Yes","Co-operative Play","Hand Management","Simultaneous Action Selection","GateOnGames",,,"7.5"
"3 Stones","2","2","8","30","2000","Abstract Strategy",,,"No","Area Enclosure","Pattern Recognition",,"Enginuity",,,"6.2"
"30 Carats","6","3","9","40","2013","Bluffing","Deduction",,"No","Auction/Bidding","Commodity Speculation","Trading","Grosso Modo Éditions",,,"6.1"
"30 Seconds","20","3","12","30","2002","Party Game","Real-time","Trivia","Yes","Partnerships","Roll / Spin and Move",,"999 Games","Calco Games","Woodland Games Limited","6.7"
"3D Labyrinth","4","2","5","30","2002","Children's Game","Maze","Racing","No","Modular Board",,,"Ravensburger Spieleverlag GmbH",,,"5.1"
"3rd Fleet","4","2","12","180","1990","Modern Warfare","Wargame",,"Yes","Dice Rolling","Hex-and-Counter","Simulation","Victory Games (I)",,,"7.2"
"4 Gods","4","2","8","30","2016","Real-time",,,"No","Area Control / Area Influence","Tile Placement",,"Asmodee","Conclave Editora","Ludically","6.4"
"4000 A.D.","4","2","10","90","1972","Science Fiction","Wargame",,"No","Partnerships","Secret Unit Deployment",,"Parker Brothers","Waddington's Games"," Inc.","5.4"
"48th Panzer Korps","2","2","12","240","1991","Wargame","World War II",,"No","Hex-and-Counter","Simulation",,"Kokusai-Tsushin Co."," Ltd. (?????)","Pacific Rim Publishing","6.6"
"4th Dimension","2","2","12","45","1979","Abstract Strategy","Science Fiction",,"No","Rock-Paper-Scissors",,,"(Self-Published)","TSR",,"5.3"
"5 Alive","7","2","7","30","1990","Card Game",,,"No","Hand Management","Player Elimination",,"Crown & Andrews Ltd.","Hasbro","International Games","5.4"
"51st State","4","2","10","90","2010","Card Game","City Building","Economic","Yes","Card Drafting","Hand Management","Variable Player Powers","Portal Games","IELLO","Toy Vault","6.9"
"5th Fleet","4","2","12","180","1989","Modern Warfare","Wargame",,"Yes","Dice Rolling","Hex-and-Counter",,"Victory Games (I)",,,"7.1"
"6 Billion","5","2","12","120","1999","Science Fiction",,,"No","Area Control / Area Influence","Hand Management",,"Board Not Bored Games",,,"5.3"
"6 nimmt!","10","2","8","45","1994","Card Game",,,"Yes","Hand Management","Simultaneous Action Selection",,"AMIGO Spiel + Freizeit GmbH","999 Games","Albi","6.9"
"7 Ages","7","2","14","480","2004","Civilization","Wargame",,"No","Area Movement","Simulation","Variable Player Powers","Australian Design Group",,,"7"
"7 Ronin","2","2","14","30","2013","Medieval",,,"Yes","Area Control / Area Influence","Simultaneous Action Selection",,"Badger's Nest","Grey Fox Games",,"7.2"
"7 Steps","4","2","10","30","2014","Abstract Strategy",,,"No","Modular Board","Route/Network Building",,"KOSMOS",,,"6.3"
"7 Wonders","7","2","10","30","2010","Ancient","Card Game","City Building","Yes","Card Drafting","Hand Management","Set Collection","Repos Production","ADC Blackfire Entertainment","Asmodee","7.8"
"7 Wonders Duel","2","2","10","30","2015","Ancient","Card Game","City Building","Yes","Card Drafting","Set Collection",,"Repos Production","ADC Blackfire Entertainment","Asterion Press","8.2"
"7-Card Slugfest","8","3","0","30","2013","Card Game","Fighting","Party Game","No","Take That","Variable Player Powers",,"Level 99 Games",,,"6"
"7th Fleet","2","2","12","120","1987","Modern Warfare","Nautical","Wargame","Yes","Dice Rolling","Hex-and-Counter",,"Hobby Japan","Victory Games (I)",,"7.1"
"7th Sea Collectible Card Game","6","2","12","45","1998","Adventure","Card Game","Collectible Components","No","Area Movement","Hand Management",,"Alderac Entertainment Group (AEG)","Flying Tricycle"," LLC","6.7"
"08/28","6","3","8","30","2015","Bluffing","Card Game",,"No","Press Your Luck",,,"Main Street Publishing","Zoch Verlag",,"5.4"
"8th Army: Operation Crusader","2","2","12","120","1984","Wargame","World War II",,"No","Hex-and-Counter","Secret Unit Deployment",,"GDW Games","Kokusai-Tsushin Co."," Ltd. (?????)","6.8"
"90°","2","2","0","30","2008","Card Game","Dice","Sports","No","Card Drafting","Dice Rolling","Hand Management","Virtuda",,,"7.6"
"A Brief History of the World","6","3","10","180","2009","Ancient","Civilization","Medieval","No","Area Control / Area Influence",,,"Ragnar Brothers","Spiral Galaxy Games",,"7"
"A Call to Arms: Babylon 5 Space Combat","8","2","12","120","2004","Miniatures","Science Fiction","Wargame","Yes","Simulation",,,"Mongoose Publishing",,,"6.6"
"A Castle for All Seasons","4","2","10","60","2008","City Building","Medieval",,"Yes","Simultaneous Action Selection","Variable Phase Order","Worker Placement","eggertspiele","Filosofia Éditions","The Game Master BV","6.8"
"A Conclave of Wyrms","6","3","10","60","2010","Card Game",,,"No","Trick-taking",,,"Z-Man Games",,,"5.6"
"A Dog's Life","6","2","8","90","2001","Adventure","Animals",,"No","Action Point Allowance System","Pick-up and Deliver","Variable Player Powers","ADC Blackfire Entertainment","Descartes Editeur","Eurogames","5.5"
"A Duel Betwixt Us","2","2","10","45","2014","Card Game","Humor",,"No","Hand Management","Variable Player Powers",,"Game Salute",,,"5.5"
"A Fatal Attraction: The Gallipoli Campaign","2","2","12","360","2007","Nautical","Wargame","World War I","No","Dice Rolling","Hex-and-Counter","Simulation","Against the Odds","LPS"," Inc.","6.5"
"A Few Acres of Snow","2","2","14","120","2011","Age of Reason","American Indian Wars","Card Game","No","Area Control / Area Influence","Card Drafting","Deck / Pool Building","Asmodee","Asterion Press","Treefrog Games","7.4"
"A Fistful of Dinero","6","3","10","30","2015","Action / Dexterity","American West","Card Game","No","Card Drafting",,,"Magic House Games",,,"6.4"
"A Fool's Fortune","3","2","13","45","2012","Card Game",,,"No","Hand Management","Set Collection",,"Rio Grande Games",,,"6.2"
"A Frozen Hell","2","2","12","240","2000","Wargame","World War II",,"No","Hex-and-Counter",,,"The Gamers","Multi-Man Publishing",,"6.6"
"A Game of Gnomes","4","2","12","90","2015","Adventure","Mythology","Travel","No","Action Point Allowance System","Card Drafting","Hand Management","Fragor Games",,,"6.6"
"A Gleam of Bayonets: The Battle of Antietam","2","2","12","360","1983","American Civil War","Wargame",,"No","Hex-and-Counter",,,"TSR",,,"7.1"
"A House Divided","2","2","12","240","1981","American Civil War","Wargame",,"No","Dice Rolling","Point to Point Movement",,"Diseños Orbitales","GDW Games","Mayfair Games","7.1"
"A la carte","4","2","13","30","1989","Action / Dexterity","Party Game",,"Yes","Action Point Allowance System","Dice Rolling","Set Collection","Competo / Marektoy","Fantasy Flight Games","Giochi Uniti","6.5"
"A las Barricadas!","2","2","12","120","2006","Wargame",,,"Yes","Dice Rolling","Hex-and-Counter","Simulation","War Storm Series",,,"7.1"
"A Line in the Sand: The Battle of Iraq","6","2","10","180","1991","Arabian","Negotiation","Political","No","Dice Rolling","Variable Player Powers",,"TSR",,,"5.8"
"A Mighty Fortress","6","6","14","240","1977","Renaissance","Wargame",,"No","Hex-and-Counter","Variable Player Powers",,"Decision Games (I)","Excalibre Games"," Inc.","6.3"
"A Most Dangerous Time: Japan in Chaos, 1570-1584","4","2","12","240","2009","Renaissance","Wargame",,"No","Action Point Allowance System","Chit-Pull System","Dice Rolling","Multi-Man Publishing",,,"7.4"
"A Question of Scruples","12","4","18","60","1984","Bluffing","Party Game",,"No","Voting",,,"Estrela","High Games Entertainment","Maruca Industries","4.6"
"A Raging Storm","2","2","12","60","1997","Wargame","World War II",,"No","Hex-and-Counter",,,"The Gamers",,,"6.8"
"A Study in Emerald","5","2","13","90","2013","Fantasy","Horror","Murder/Mystery","No","Area Control / Area Influence","Auction/Bidding","Card Drafting","Treefrog Games",,,"7.3"
"A to Z","4","2","9","30","1992","Party Game","Trivia","Word Game","No","Dice Rolling","Set Collection",,"F.X. Schmid","Fundex","Habourdin International","6.1"
"A Touch of Evil: The Supernatural Game","8","2","12","90","2008","Adventure","Fighting","Horror","Yes","Area Movement","Co-operative Play","Dice Rolling","Flying Frog Productions",,,"7"
"A Victory Denied","2","2","0","360","2009","Wargame","World War II",,"No","Chit-Pull System","Dice Rolling","Hex-and-Counter","Game Journal","Multi-Man Publishing",,"7.4"
"A Victory Lost","2","2","12","360","2006","Wargame","World War II",,"No","Chit-Pull System","Dice Rolling","Hex-and-Counter","Multi-Man Publishing",,,"7.7"
"A Winter War","2","2","12","360","1992","Wargame","World War II",,"Yes","Dice Rolling","Hex-and-Counter",,"Games Research/Design (GR/D)",,,"7.1"
"A.D.A.P.T.","3","2","7","40","2016","Card Game","Dice","Economic","Yes","Card Drafting","Deck / Pool Building","Dice Rolling","Gate Keeper Games",,,"6.1"
"Ab die Post!","6","3","8","45","1996","Aviation / Flight","Racing",,"No","Dice Rolling",,,"Goldsieber Spiele",,,"5.3"
"Ab in die Tonne","5","2","6","30","2013","Action / Dexterity","Card Game","Children's Game","No","Simultaneous Action Selection",,,"ABACUSSPIELE","GoKids ????","Hobby World","6.1"
"Abaddon","4","2","14","45","2012","Miniatures","Science Fiction","Wargame","Yes","Dice Rolling","Hand Management",,"Toy Vault"," Inc.",,"6.8"
"Abalone","2","2","7","30","1987","Abstract Strategy",,,"Yes","Grid Movement",,,"Abalone Games","abalone s.a.","Abstract Games (magazine)","6.4"
"Abalone Quattro","4","2","0","40","2003","Abstract Strategy",,,"No","Grid Movement",,,"Asmodee","Hasbro","Parker Spiele","6.9"
"Abande","2","2","8","30","2005","Abstract Strategy",,,"Yes","Grid Movement",,,"(Web published)","Bambus Spieleverlag","nestorgames","7"
"Abandon Ship","7","3","10","30","2009","Animals","Bluffing","Nautical","No","Area Movement","Dice Rolling",,"Alderac Entertainment Group (AEG)","Pegasus Spiele",,"6.3"
"Abilene","6","3","8","45","1983","American West","Fighting",,"No","Pick-up and Deliver","Secret Unit Deployment",,"Hexagames (I)","Schmidt Spiele",,"5.8"
"About Time","8","2","14","90","2007","Dice","Educational","Trivia","No","Dice Rolling","Partnerships",,"Californian Products","Circa Circa",,"6.1"
"Above and Below","4","2","13","90","2015","Adventure","Book","City Building","Yes","Action Point Allowance System","Card Drafting","Deck / Pool Building","Red Raven Games","dV Giochi","Schwerkraft-Verlag","7.7"
"Abraca...what?","5","2","8","30","2014","Deduction",,,"No","Memory",,,"Asterion Press","Broadway Toys LTD","Cube Factory of Ideas","6.6"
"Abracadabra","6","2","8","30","2004","Card Game","Fantasy",,"No","Set Collection",,,"dV Giochi","Mayfair Games",,"5.2"
"aBRIDGEd","4","4","12","40","2006","Card Game",,,"No","Auction/Bidding","Trick-taking",,"Out of the Box Publishing",,,"5.3"
"Abtei der Rätsel","4","2","10","45","2011","Deduction","Medieval","Word Game","No","Pick-up and Deliver","Point to Point Movement",,"KOSMOS",,,"5.7"
"Abyss","4","2","14","60","2014","Card Game","Mythology","Science Fiction","Yes","Auction/Bidding","Card Drafting","Hand Management","Bombyx","Asmodee","Asterion Press","7.3"
"Accused! Getting Away With Murder?","8","2","14","90","2008","Murder/Mystery",,,"No","Role Playing","Roll / Spin and Move","Storytelling","Twisted Winds Ltd",,,"6.2"
"Ace Detective","5","2","14","60","2013","Card Game","Murder/Mystery",,"Yes","Storytelling",,,"8th Summit","Arclight",,"6.1"
"Ace of Spies","5","2","10","30","2012","Card Game","Spies/Secret Agents",,"No","Set Collection",,,"(Self-Published)","Albino Dragon",,"5.6"
"Achaia","5","2","14","90","2015","Ancient","Dice","Fantasy","No","Area Control / Area Influence","Dice Rolling","Hand Management","REDIMP GAMES",,,"6.7"
"Acquire","6","3","12","90","1964","Economic",,,"No","Hand Management","Stock Holding","Tile Placement","3M","Avalon Hill","Avalon Hill (Hasbro)","7.4"
"Across Suez","2","2","12","120","1980","Modern Warfare","Wargame",,"No","Hex-and-Counter",,,"Decision Games (I)","Hobby Japan","SPI (Simulations Publications","6"
"Across the Potomac","2","2","12","120","1994","American Civil War","Wargame",,"No","Hex-and-Counter",,,"XTR Corp",,,"6.3"
"Activity","16","3","12","45","1990","Card Game","Party Game",,"Yes","Acting","Dice Rolling","Line Drawing","Discovery Toys","Giochi Uniti","Piatnik","6"
"Ad Acta","4","2","12","60","2002","Card Game",,,"No","Action Point Allowance System",,,"BeWitched Spiele",,,"6.2"
"Ad Astra","5","3","13","60","2009","Civilization","Science Fiction","Space Exploration","No","Action / Movement Programming","Simultaneous Action Selection","Trading","Edge Entertainment","Fantasy Flight Games","Heidelberger Spieleverlag","6.9"
"Adam & Eva","2","2","12","30","2004","Card Game",,,"No","Hand Management",,,"Ravensburger Spieleverlag GmbH","Rio Grande Games",,"6"
"Adeptus Titanicus","2","2","12","120","1988","Miniatures","Science Fiction","Wargame","Yes","Dice Rolling","Simultaneous Action Selection",,"Games Workshop Ltd.",,,"6.2"
"Adlung Land","4","2","10","45","2010","Card Game",,,"No","Hand Management","Tile Placement",,"Adlung-Spiele",,,"5.9"
"Admirals","2","2","7","30","1972","Bluffing","Fighting","Modern Warfare","No","Grid Movement","Memory","Secret Unit Deployment","Miro Company","Parker Brothers","ZTS Plastyk","5.5"
"Adrenaline","5","3","12","60","2016","Fighting","Miniatures","Science Fiction","Yes","Action Point Allowance System","Area Control / Area Influence","Area Movement","Cranio Creations","Czech Games Edition","GaGa Games","7.4"
"Advance to Boardwalk","4","2","8","60","1985","Economic",,,"No","Area Control / Area Influence","Dice Rolling","Hand Management","Borras Plana S.A.","Editrice Giochi","Parker Brothers","5.4"
"Advanced Dungeons & Dragons Battlesystem Skirmishes","8","2","12","120","1991","Fantasy","Fighting","Miniatures","No","Dice Rolling","Modular Board",,"TSR",,,"5.4"
"Advanced Dungeons & Dragons Trivia Game","10","3","10","60","1991","Fantasy","Memory","Trivia","No","Co-operative Play","Memory",,"TSR",,,"4.4"
"Advanced European Theater of Operations","5","2","15","360","2001","Wargame","World War II",,"Yes","Dice Rolling","Hex-and-Counter","Simulation","Decision Games (I)",,,"7.5"
"Advanced Space Crusade","2","2","12","45","1990","Adventure","Fighting","Miniatures","No","Dice Rolling","Modular Board","Tile Placement","Games Workshop Ltd.",,,"6.4"
"Advanced Squad Leader","2","2","14","480","1985","Wargame","World War II",,"Yes","Auction/Bidding","Dice Rolling","Hex-and-Counter","Avalon Hill","Hobby Japan","Multi-Man Publishing","7.9"
"Advanced Third Reich","6","2","12","2480","1992","Wargame","World War II",,"No","Dice Rolling","Hex-and-Counter","Simulation","Avalon Hill",,,"6.7"
"Advanced Tobruk","2","2","10","180","2002","Wargame","World War II",,"Yes","Hex-and-Counter","Modular Board",,"Critical Hit"," Inc.","Kokusai-Tsushin Co.","7.4"
"Advanced Tobruk System Basic Game 1a: Screaming Eagles","2","2","12","60","2005","Wargame","World War II",,"No","Hex-and-Counter","Simulation",,"Critical Hit"," Inc.",,"6.9"
"Adventure Land","4","2","10","45","2015","Fantasy",,,"Yes","Area Control / Area Influence",,,"HABA - Habermaaß GmbH",,,"7"
"Adventure Tours","6","3","10","45","2014","Card Game",,,"No","Hand Management","Variable Player Powers",,"Schmidt Spiele",,,"6.2"
"Adventurer","6","2","12","90","1980","Fighting","Science Fiction",,"No","Action / Movement Programming","Simultaneous Action Selection",,"Yaquinto",,,"6.1"
"Aegean Strike","2","2","12","360","1986","Aviation / Flight","Modern Warfare","Wargame","No","Hex-and-Counter","Simulation",,"Victory Games (I)",,,"6.2"
"Aeroplanes: Aviation Ascendant","5","3","14","120","2012","Aviation / Flight","Economic","Transportation","Yes","Area Control / Area Influence","Card Drafting","Dice Rolling","Mayfair Games","Phalanx Games Polska",,"6.7"
"Aether","4","2","10","45","2010","Abstract Strategy","Mythology",,"No","Area Control / Area Influence","Modular Board","Pattern Building","Onni Games","SimplyFun",,"5.9"
"Africa","5","2","10","60","2001","Exploration",,,"No","Set Collection",,,"999 Games","Goldsieber Spiele","Rio Grande Games","6"
"Africa 1880","6","3","14","120","1997","Bluffing","Exploration","Negotiation","No","Area Control / Area Influence","Area Movement","Player Elimination","Tilsit","Truant Spiele",,"5.7"
"Africa Orientale","2","2","12","120","1989","Wargame","World War II",,"No","Hex-and-Counter",,,"3W (World Wide Wargames)",,,"6.2"
"Africana","4","2","8","60","2012","Adventure","Exploration","Travel","Yes","Card Drafting","Pick-up and Deliver","Point to Point Movement","ABACUSSPIELE","Albi","Filosofia Éditions","6.8"
"Afrika Korps","4","2","12","180","1964","Wargame","World War II",,"No","Dice Rolling","Hex-and-Counter","Simulation","Avalon Hill",,,"6.1"
"Afrikan tähti","6","2","4","45","1951","Children's Game","Exploration",,"Yes","Point to Point Movement","Roll / Spin and Move",,"Alga","Aristospel","Brio AB","4.6"
"After Pablo","4","2","17","120","2010","Economic","Fighting","Mafia","No","Area Control / Area Influence","Hand Management",,"Blast City Games","Past Into Print Publishing",,"7.4"
"After the Flood","3","3","13","180","2008","Ancient","Civilization","Fighting","No","Area Control / Area Influence","Area-Impulse","Dice Rolling","Treefrog Games","Warfrog Games",,"6.9"
"After the Holocaust","4","3","12","360","1977","Economic",,,"No","Hex-and-Counter","Worker Placement",,"SPI (Simulations Publications"," Inc.)",,"5.9"
"Against All Odds","2","2","12","180","2003","Wargame","World War II",,"Yes","Hex-and-Counter","Secret Unit Deployment","Simulation","Critical Hit"," Inc.",,"7.4"
"Against the Reich","2","2","12","360","1986","Wargame","World War II",,"No","Action Point Allowance System","Hex-and-Counter",,"West End Games",,,"6.8"
"Agamemnon","2","2","12","30","2016","Abstract Strategy","Ancient",,"No","Area Control / Area Influence",,,"Osprey Games",,,"7.2"
"Age of Conan: The Strategy Board Game","4","2","12","90","2009","Fantasy","Fighting","Novel-based","Yes","Dice Rolling","Variable Phase Order","Variable Player Powers","Ares Games","Devir","Edge Entertainment","6.7"
"Age of Discovery","4","2","10","45","2007","Card Game","Economic","Exploration","No","Card Drafting","Hand Management",,"Devir","Mayfair Games","Phalanx Games B.V.","6.4"
"Age of Gods","6","3","12","90","2004","Bluffing","Fantasy","Mythology","No","Dice Rolling","Variable Player Powers",,"Asmodee",,,"6.3"
"Age of Industry","5","2","13","120","2010","Economic","Industry / Manufacturing","Transportation","Yes","Card Drafting","Hand Management","Route/Network Building","Hobby Japan","Treefrog Games","Wargames Club Publishing","7.5"
"Age of Muskets Volume I: Tomb for an Empire","6","2","0","6000","2008","Napoleonic","Wargame",,"No","Action Point Allowance System","Area Movement","Area-Impulse","Bellica Third Generation",,,"7.4"
