Title
86
.hack//Tasogare no Udewa Densetsu
"""Oshi no Ko"""
07-Ghost
100-man no Inochi no Ue ni Ore wa Tatteiru
3-gatsu no Lion
5-toubun no Hanayome
A-Channel
ACCA: 13-ku Kansatsu-ka
Accel World
Acchi Kocchi
Adachi to Shimamura
Afro Samurai
Aharen-san wa Hakarenai
Ahiru no Sora
Aho Girl
Ai Yori Aoshi
Air
Aishite Knight
Aiura
Ajin
Akachan to Boku
Akagami no Shirayuki-hime
Akage no Anne
Akame ga Kill!
Akatsuki no Yona
Akazukin Chacha
Akebi-chan no Sailor-fuku
Akkun to Kanojo
Aku no Hana
Akuma no Riddle
Akuyaku Reijou nanode Last Boss wo Kattemimashita
Aldnoah.Zero
Alice to Zouroku
All Out!!
Amaama to Inazuma
Amagi Brilliant Park
Amanchu!
Amatsuki
Angel Heart
Angolmois: Genkou Kassenki
Anima Yell!
Animal Yokochou
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.
Ano Natsu de Matteru
Another
Ansatsu Kyoushitsu
Ao Ashi
Ao Haru Ride
Ao no Exorcist
Ao no Kanata no Four Rhythm
Ao no Orchestra
Aoharu x Kikanjuu
Aoi Hana
Aquarion Evol
Araburu Kisetsu no Otome-domo yo.
Arakawa Under the Bridge
Arata Kangatari
Area no Kishi
Arifureta Shokugyou de Sekai Saikyou
Arte
Asagiri no Miko
Asari-chan
Asatte no Houkou.
Ashita no Joe
Ashita no Nadja
Asobi Asobase
Assassins Pride
Astro Boy: Tetsuwan Atom
Asura Cryin'
Atom: The Beginning
Attack on Titan
Attack No.1
Attacker You!
Ayashi no Ceres
B'T X
Babel Nisei
Baby Steps
Baccano!
Baka to Test to Shoukanjuu
Bakegyamon
Bakemonogatari
Bakuman.
Bakuten Shoot Beyblade
Ballroom e Youkoso
Bamboo Blade
Banana Fish
BanG Dream!
Barakamon
Baraou no Souretsu
Bartender
Beastars
Beatless
Beck
Beelzebub
Beelzebub-jou no Okinimesu mama.
"Benriya Saitou-san, Isekai ni Iku"
Berserk
Beyblade Burst
Big X
Binbou Shimai Monogatari
Binbougami ga!
Bishoujo Senshi Sailor Moon
Bishounen Tanteidan
Black Blood Brothers
Black Bullet
Black Clover
Black Lagoon
Bleach
Blend S
Blood Lad
Blood-C
Blood+
Blue Lock
Blue Period
BNA
Bobobo-bo Bo-bobo
Bocchi the Rock!
Boku dake ga Inai Machi
Boku no Hero Academia
Boku no Tonari ni Ankoku Hakaishin ga Imasu.
Boku to Roboko
Bokura ga Ita
Bokura wa Minna Kawai-sou
Bokutachi no Remake
Boogiepop wa Warawanai
Boruto: Naruto Next Generations
Boys Be...
Brain Powerd
Brave 10
Break Blade
Brigadoon: Marin to Melan
Brothers Conflict
Bungou Stray Dogs
Bungou Stray Dogs Wan!
Bus Gamer
Busou Renkin
Buzzer Beater
Canaan
Candy Candy
Canvas 2: Nijiiro no Sketch
Capeta
Captain Tsubasa
Captain Tsubasa: Road to 2002
Cardcaptor Sakura
Cardcaptor Sakura: Clear Card-hen
Cardfight!! Vanguard
Carole & Tuesday
Cat's Eye
Centaur no Nayami
Chainsaw Man
Charlotte
Cheat Kusushi no Slow Life: Isekai ni Tsukurou Drugstore
Chi's Sweet Home
Chibi Maruko-chan
Chicchana Yukitsukai Sugar
Chihayafuru
Chinpui
Chio-chan no Tsuugakuro
Chitose Get You!!
Chocotto Sister
Choujin Koukousei-tachi wa Isekai demo Yoyuu de Ikinuku you desu!
Chrno Crusade
Chrome Shelled Regios
Chuuka Ichiban!
Chuukan Kanriroku Tonegawa
Chuunibyou demo Koi ga Shitai!
Cinderella Boy
City Hunter
Clamp Gakuen Tanteidan
Clannad
Claymore
Code Geass: Hangyaku no Lelouch
Code Geass: Hangyaku no Lelouch R2
Code:Breaker
Comic Girls
Comic Party
Concrete Revolutio: Choujin Gensou
Cooking Papa
Cool Doji Danshi
Coppelion
Corrector Yui
Cowboy Bebop
Croket!
Cross Game
Cuticle Tantei Inaba
Cyborg Kuro-chan
D-Frag!
D.Gray-man
D.N.Angel
Daa! Daa! Daa!
Daitoshokan no Hitsujikai
Dan Doh!!
Dance Dance Danseur
Danchigai
Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation
Danna ga Nani wo Itteiru ka Wakaranai Ken
Dansai Bunri no Crime Edge
Danshi Koukousei no Nichijou
Dantalian no Shoka
Darker than Black: Kuro no Keiyakusha
Darling in the FranXX
Darwin's Game
Dead Mount Death Play
Deadman Wonderland
Deaimon
Dear Boys
Death March kara Hajimaru Isekai Kyousoukyoku
Death Note
Deatte 5-byou de Battle
Dekiru Neko wa Kyou mo Yuuutsu
Deltora Quest
Demashita! Powerpuff Girls Z
Demi-chan wa Kataritai
Denki-gai no Honya-san
Dennou Coil
Denpa Kyoushi
Denpa Onna to Seishun Otoko
Densetsu no Yuusha no Densetsu
Detective Conan
Devil May Cry
Devilman
Devilman Lady
Devils Line
Diamond no Ace
Digimon Adventure
Digimon Frontier
Digimon Tamers
Digimon Xros Wars
Dimension W
Dog Days
Dokaben
Donten ni Warau
Doraemon
Dorohedoro
Dororo
Dororon Enma-kun
Doujin Work
"Doukyonin wa Hiza, Tokidoki, Atama no Ue."
Dr. Rin ni Kiitemite!
Dr. Slump
Dr. Stone
Dragon Ball
Dragon Ball Super
Dragon Crisis!
Dragon Drive
"Dragon, Ie wo Kau."
Dragonaut: The Resonance
DRAMAtical Murder
Drifters
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Gaiden: Sword Oratoria
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II
Eat-Man
Eden's Bowy
Edens Zero
Edomae Elf
Enen no Shouboutai
Ensemble Stars!
Erementar Gerad
Escha & Logy no Atelier: Tasogare no Sora no Renkinjutsushi
Etotama
Eureka Seven AO
Ex-Arm
Eyeshield 21
F
Fairy Tail
Fantasy Bishoujo Juniku Ojisan to
Fate/Apocrypha
Fate/stay night
Fate/stay night: Unlimited Blade Works
Fate/Zero
Flying Witch
Fractale
Fresh Precure!
Fruits Basket
Fudanshi Koukou Seikatsu
Fukigen na Mononokean
Fukumenkei Noise
Full Metal Panic!
Full Moon wo Sagashite
Fullmetal Alchemist
Fumetsu no Anata e
Fumikiri Jikan
Fune wo Amu
Fushigi na Melmo
Fushigi Yuugi
Futakoi Alternative
Futari wa Precure
Futatsu no Spica
Fuuto Tantei
GA: Geijutsuka Art Design Class
Gabriel DropOut
"Gaikotsu Kishi-sama, Tadaima Isekai e Odekakechuu"
Gaikotsu Shotenin Honda-san
Gakkougurashi!
Gakuen Alice
Gakuen Babysitters
Gakuen Utopia Manabi Straight!
Gal to Kyouryuu
Galaxy Angel
Gamers!
Ganbare Genki
Gangsta.
Gankutsuou
Gate Keepers
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri"
Gekkan Shoujo Nozaki-kun
Genei wo Kakeru Taiyou
Genjitsu Shugi Yuusha no Oukoku Saikenki
Genshiken
GetBackers
Getter Robo
Getter Robo G
Getter Robo Go
Ghost Hunt
Gi(a)rlish Number
Giant Killing
Gilgamesh
Gin no Saji
Ginban Kaleidoscope
Ginga Densetsu Weed
Ginga Nagareboshi Gin
Ginga Tetsudou 999
Gingitsune
Gintama
Girls & Panzer
Given
GJ-bu
Glass no Kamen
Goblin Slayer
Gochuumon wa Usagi desu ka?
Gokinjo Monogatari
Gokukoku no Brynhildr
Gokusen
Golden Kamuy
Golden Time
Gon
Gosick
Grancrest Senki
Grand Blue
Gravitation
Great Mazinger
Great Pretender
Gugure! Kokkuri-san
Guilty Crown
Guin Saga
Gun Frontier
Gunslinger Girl
H2
H2O: Footprints in the Sand
"Hachi-nan tte, Sore wa Nai deshou!"
Hachimitsu to Clover
Hai to Gensou no Grimgar
Haikara-san ga Tooru
Haikyuu!!
Haiyore! Nyaruko-san
Hajime no Ippo
Hakata Tonkotsu Ramens
Hakkenden: Touhou Hakken Ibun
Hakumei to Mikochi
Hakuouki
Hakushaku to Yousei
Hamster Club
Hana yori Dango
Hanada Shounen-shi
Hanamaru Youchien
Hanasakeru Seishounen
Hanasaku Iroha
Hanayamata
Hanbun no Tsuki ga Noboru Sora
Handa-kun
Hanebado!
Happiness!
Happy Happy Clover
Happy Sugar Life
Hataraki Man
Hataraku Maou-sama!
Hataraku Saibou
Hataraku Saibou Black
Hatenkou Yuugi
Hatsukoi Monster
Hayate no Gotoku!
Heat Guy J
Heavy Object
Heion Sedai no Idaten-tachi
Hellsing
Hentai Ouji to Warawanai Neko.
Heroman
Hi no Tori
Hiatari Ryoukou!
Hibike! Euphonium
Hidamari no Ki
Hidamari Sketch
Hidan no Aria AA
Hige wo Soru. Soshite Joshikousei wo Hirou.
Higeki no Genkyou to Naru Saikyou Gedou Last Boss Joou wa Tami no Tame ni Tsukushimasu.
High School! Kimengumi
High Score Girl
Higurashi no Naku Koro ni Gou
Hikari no Densetsu
Hikaru no Go
Hime-chan no Ribbon
Himouto! Umaru-chan
Hinako Note
Hinomaruzumou
Hitohira
Hitorijime My Hero
Hitsugi no Chaika
Hokuto no Ken
Honoo no Mirage
Honoo no Toukyuuji: Dodge Danpei
