Title,Title_Romaji,Title_English,Title_Japanese,Season,SeasonYear,Genre1,Genre2,Genre3,Demographic,Studio,Title_Clean,Circulation_Num,Circulation_PreAnime
Code Geass: Hangyaku no Lelouch,Code Geass: Hangyaku no Lelouch,Code Geass: Lelouch of the Rebellion,?????? ????????,FALL,2006,Action,Drama,Mecha,,Sunrise,Code Geass: Hangyaku no Lelouch,,
Code:Breaker,CØDE:BREAKER,Code:Breaker,CØDE:BREAKER,FALL,2012,Action,Comedy,Supernatural,Shounen,Kinema Citrus,Code:Breaker,,
Comic Girls,Comic Girls,Comic Girls,????????,SPRING,2018,Comedy,Slice of Life,,Seinen,Nexus,Comic Girls,,
Comic Party,Comic Party,Comic Party,?????????,SPRING,2001,Comedy,Drama,,,OLM,Comic Party,,
Concrete Revolutio: Choujin Gensou,Concrete Revolutio: Choujin Gensou,Concrete Revolutio,?????????????~????~,FALL,2015,Action,Drama,Fantasy,,bones,Concrete Revolutio: Choujin Gensou,,
Cooking Papa,Cooking Papa, Cooking Papa,???????,SPRING,1992,Comedy,Slice of Life,,Seinen,,Cooking Papa,4077,
Cool Doji Danshi,Cool Doji Danshi,"Play It Cool, Guys",???????,FALL,2022,Comedy,Slice of Life,,Josei,Studio Pierrot,Cool Doji Danshi,,
Coppelion,Coppelion,Coppelion,??????,FALL,2013,Action,Sci-Fi,,Seinen,GoHands,Coppelion,,
Corrector Yui,Corrector Yui,Corrector Yui,????????,SPRING,1999,Adventure,Comedy,Mahou Shoujo,,Nippon Animation,Corrector Yui,,
Cowboy Bebop,Cowboy Bebop,Cowboy Bebop,?????????,SPRING,1998,Action,Adventure,Drama,,Sunrise,Cowboy Bebop,,
Croket!,CROKET!, Croket!,????!,SPRING,2003,Action,Adventure,Comedy,,OLM,Croket!,,
Cross Game,Cross Game,Cross Game,??????,SPRING,2009,Comedy,Drama,Romance,Shounen,SynergySP,Cross Game,,
Cuticle Tantei Inaba,Cuticle Tantei Inaba,Cuticle Detective Inaba,???????????,WINTER,2013,Action,Comedy,Mystery,Shounen,ZEXCS,Cuticle Tantei Inaba,,
Cyborg Kuro-chan,Cyborg Kuro-chan, Cyborg Kuro-chan,??????????,FALL,1999,Comedy,Sci-Fi,,Shounen,Public & Basic,Cyborg Kuro-chan,,
D-Frag!,D-Frag!, D-Frag!,??????!,WINTER,2014,Comedy,,,Seinen,Brain's Base,D-Frag!,,
D.Gray-man,D.Gray-man,D.Gray-man,?????????,FALL,2006,Action,Adventure,Drama,Shounen,TMS Entertainment,D.Gray-man,27125,
D.N.Angel,D.N.Angel,D.N.Angel,D?N?ANGEL,SPRING,2003,Action,Comedy,Fantasy,Shoujo,Xebec,D.N.Angel,,
Daa! Daa! Daa!,Daa! Daa! Daa!, Daa! Daa! Daa! (often localized as UFO Baby),??! ??! ??!,SPRING,2000,Comedy,Sci-Fi,,Shoujo,J.C.STAFF,Daa! Daa! Daa!,,
Daitoshokan no Hitsujikai,Daitoshokan no Hitsujikai,A Good Librarian Like a Good Shepherd,????????,FALL,2014,Comedy,Romance,,,Hoods Entertainment,Daitoshokan no Hitsujikai,,
Dan Doh!!,Dan Doh!!, Dan Doh!!,????,SPRING,2004,Adventure,Sports,,Shounen,Tokyo Kids,Dan Doh!!,,
Dance Dance Danseur,Dance Dance Danseur,Dance Dance Danseur,?????????????,SPRING,2022,Drama,Romance,Slice of Life,Seinen,MAPPA,Dance Dance Danseur,,
Danchigai,Danchigai,Danchigai,?????,SUMMER,2015,Comedy,Slice of Life,,,Creators in Pack,Danchigai,,
Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei - The Animation,Danganronpa: The Animation,??????? ???????????? The Animation,SUMMER,2013,Horror,Mystery,Psychological,,Lerche,Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,,
Danna ga Nani wo Itteiru ka Wakaranai Ken,Danna ga Nani wo Itteiru ka Wakaranai Ken,I Can't Understand What My Husband Is Saying,?????????????????,FALL,2014,Comedy,Romance,Slice of Life,Seinen,Seven,Danna ga Nani wo Itteiru ka Wakaranai Ken,,
Dansai Bunri no Crime Edge,Dansai Bunri no Crime Edge,The Severing Crime Edge,????????????,SPRING,2013,Action,Fantasy,Romance,Seinen,Studio Gokumi,Dansai Bunri no Crime Edge,,
Danshi Koukousei no Nichijou,Danshi Koukousei no Nichijou,Daily Lives of High School Boys,????????,WINTER,2012,Comedy,Slice of Life,,Shounen,Sunrise,Danshi Koukousei no Nichijou,,
Dantalian no Shoka,Dantalian no Shoka,The Mystic Archives of Dantalian,?????????,SUMMER,2011,Action,Mystery,Supernatural,,Gainax,Dantalian no Shoka,,
Darker than Black: Kuro no Keiyakusha,DARKER THAN BLACK: Kuro no Keiyakusha,Darker than Black,DARKER THAN BLACK -?????-,SPRING,2007,Action,Mystery,Sci-Fi,,bones,Darker than Black: Kuro no Keiyakusha,,
Darling in the FranXX,Darling in the Franxx,DARLING in the FRANXX,???????????????,WINTER,2018,Action,Drama,Mecha,,TRIGGER,Darling in the FranXX,,
Darwin's Game,Darwin's Game,Darwin's Game,?????????,WINTER,2020,Action,Mystery,Sci-Fi,Shounen,Nexus,Darwin's Game,,
Dead Mount Death Play,Dead Mount Death Play,Dead Mount Death Play,?????????????,SPRING,2023,Action,Fantasy,Supernatural,Seinen,GEEKTOYS,Dead Mount Death Play,,
Deadman Wonderland,Deadman Wonderland,Deadman Wonderland,?????????????,SPRING,2011,Action,Drama,Sci-Fi,Shounen,Manglobe,Deadman Wonderland,,
Deaimon,Deaimon,Deaimon: Recipe for Happiness,?????,SPRING,2022,Slice of Life,,,Seinen,Encourage Films,Deaimon,,
Dear Boys,Dear Boys,Hoop Days,????????,SPRING,2003,Drama,Sports,,Shounen,A.C.G.T.,Dear Boys,4572,
Death March kara Hajimaru Isekai Kyousoukyoku,Death March Kara Hajimaru Isekai Kyousoukyoku,Death March to the Parallel World Rhapsody,?????????????????,WINTER,2018,Action,Adventure,Comedy,,SILVER LINK.,Death March kara Hajimaru Isekai Kyousoukyoku,,
Death Note,DEATH NOTE,Death Note,DEATH NOTE,FALL,2006,Mystery,Psychological,Supernatural,Shounen,MADHOUSE,Death Note,30105,
Deatte 5-byou de Battle,Deatte 5-byou de Battle,Battle Game in 5 Seconds,????5?????,SUMMER,2021,Action,Drama,Supernatural,Seinen,Vega Entertainment,Deatte 5-byou de Battle,,2000000
Dekiru Neko wa Kyou mo Yuuutsu,Dekiru Neko wa Kyou mo Yuuutsu,The Masterful Cat is Depressed Again Today,??????????,SUMMER,2023,Comedy,Fantasy,Slice of Life,Shounen,GoHands,Dekiru Neko wa Kyou mo Yuuutsu,,
Deltora Quest,Deltora Quest,Deltora Quest,????????,WINTER,2007,Adventure,Fantasy,,,OLM,Deltora Quest,,
Demashita! Powerpuff Girls Z,Demashitaa! Powerpuff Girls Z,Powerpuff Girls Z,?????!????????Z,SUMMER,2006,Action,Comedy,Mahou Shoujo,,Toei Animation,Demashita! Powerpuff Girls Z,,
Demi-chan wa Kataritai,Demi-chan wa Kataritai,Interviews with Monster Girls,??????????,WINTER,2017,Slice of Life,Supernatural,,Seinen,A-1 Pictures,Demi-chan wa Kataritai,,550000000000
Denki-gai no Honya-san,Denki-Gai no Honya-san,DENKI-GAI,?????????,FALL,2014,Comedy,Slice of Life,,Seinen,Shin-Ei Animation,Denki-gai no Honya-san,,
Dennou Coil,Dennou Coil,Den-noh Coil,?????,SPRING,2007,Adventure,Comedy,Drama,,MADHOUSE,Dennou Coil,,
Denpa Kyoushi,Denpa Kyoushi,Ultimate Otaku Teacher,????,SPRING,2015,Comedy,Romance,,Shounen,A-1 Pictures,Denpa Kyoushi,,
Denpa Onna to Seishun Otoko,Denpa Onna to Seishun Otoko,Ground Control to Psychoelectric Girl,???????,SPRING,2011,Comedy,Slice of Life,,,Shaft,Denpa Onna to Seishun Otoko,,
Densetsu no Yuusha no Densetsu,Densetsu no Yuusha no Densetsu,The Legend of the Legendary Heroes,????????,SUMMER,2010,Action,Adventure,Fantasy,,ZEXCS,Densetsu no Yuusha no Densetsu,,
Detective Conan,Meitantei Conan,Case Closed,??????,WINTER,1996,Adventure,Comedy,Mystery,Shounen,TMS Entertainment,Detective Conan,,
Devil May Cry,Devil May Cry,Devil May Cry,??? ?? ???,SUMMER,2007,Action,Fantasy,,,MADHOUSE,Devil May Cry,,
Devilman,Devilman,Devilman,?????,SUMMER,1972,Action,Fantasy,Horror,,Toei Animation,Devilman,5053,
Devils Line,Devils' Line,Devils' Line,???????,SPRING,2018,Action,Drama,Horror,Seinen,Platinum Vision,Devils Line,,
Diamond no Ace,Diamond no Ace,Ace of the Diamond,????A,FALL,2013,Sports,,,Shounen,Production I.G,Diamond no Ace,,1711607000000
Digimon Adventure,Digimon Adventure,Digimon: Digital Monsters,???????????,SPRING,1999,Action,Adventure,Comedy,,Toei Animation,Digimon Adventure,,
Digimon Frontier,Digimon Frontier, Digimon Frontier,??????????,SPRING,2002,Action,Adventure,Drama,,Toei Animation,Digimon Frontier,,
Digimon Tamers,Digimon Tamers, Digimon Tamers,?????????,SPRING,2001,Action,Adventure,Drama,,Toei Animation,Digimon Tamers,,
Digimon Xros Wars,Digimon Xros Wars,Digimon Fusion,???????????,SUMMER,2010,Action,Adventure,Comedy,,,Digimon Xros Wars,,
Dimension W,Dimension W,Dimension W,??????? ?????,WINTER,2016,Action,Sci-Fi,,Seinen,Studio 3Hz,Dimension W,,
Dog Days,Dog Days,Dog Days,??????,SPRING,2011,Action,Adventure,Fantasy,,Seven Arcs,Dog Days,,
Dokaben,Dokaben, Dokaben,????,FALL,1976,Action,Sports,,,,Dokaben,4863,
Donten ni Warau,Donten ni Warau,Laughing Under the Clouds,?????,FALL,2014,Action,,,Shoujo,Doga Kobo,Donten ni Warau,,
Doraemon,Doraemon, Doraemon,?????,SPRING,1973,Adventure,Comedy,Fantasy,Shounen,,Doraemon,3002,
Dorohedoro,Dorohedoro,Dorohedoro,?????,WINTER,2020,Action,Adventure,Comedy,Seinen,MAPPA,Dorohedoro,,
Dororo,Dororo,Dororo,???,WINTER,2019,Action,Adventure,Drama,Shounen,MAPPA,Dororo,,
Doujin Work,Doujin Work,Dojin Work,???????,SUMMER,2007,Comedy,Slice of Life,,,Remic,Doujin Work,,
"Doukyonin wa Hiza, Tokidoki, Atama no Ue.","Doukyonin wa Hiza, Tokidoki, Atama no Ue.",My Roommate is a Cat,???????????????,WINTER,2019,Comedy,Slice of Life,,Shoujo,Zero-G,"Doukyonin wa Hiza, Tokidoki, Atama no Ue.",,
Dr. Rin ni Kiitemite!,Dr. Rin ni Kiitemite!, Ask Dr. Rin!,Dr.????????!,SPRING,2001,Comedy,Fantasy,Romance,Shoujo,Studio Comet,Dr. Rin ni Kiitemite!,,
Dr. Slump,Dr. Slump, Dr. Slump,????????,FALL,1997,Comedy,Slice of Life,,Shounen,Toei Animation,Dr. Slump,30106,30000000
Dr. Stone,Dr. STONE,Dr. STONE,Dr.STONE,SUMMER,2019,Action,Adventure,Comedy,Shounen,TMS Entertainment,Dr. Stone,20180,
Dragon Ball,Dragon Ball,Dragon Ball,???????,WINTER,1986,Action,Adventure,Comedy,Shounen,Toei Animation,Dragon Ball,2605,
Dragon Ball Super,Dragon Ball Super,Dragon Ball Super,????????,SUMMER,2015,Action,Adventure,Comedy,Shounen,Toei Animation,Dragon Ball Super,,
Dragon Crisis!,Dragon Crisis!,Dragon Crisis,?????????!,WINTER,2011,Action,Romance,Supernatural,,Studio DEEN,Dragon Crisis!,,
Dragon Drive,Dragon Drive, Dragon Drive,????????,SUMMER,2002,Action,Adventure,Comedy,Shounen,MADHOUSE,Dragon Drive,,
"Dragon, Ie wo Kau.","Dragon, Ie wo Kau.",Dragon Goes House-Hunting,??????????,SPRING,2021,Comedy,Fantasy,,Shounen,Signal.MD,"Dragon, Ie wo Kau.",,
Dragonaut: The Resonance,Dragonaut: The Resonance,Dragonaut -THE RESONANCE-,??????-???????-,FALL,2007,Action,Drama,Fantasy,,GONZO,Dragonaut: The Resonance,,
DRAMAtical Murder,DRAMAtical Murder, DRAMAtical Murder Wikipedia +6,??????? ????,SUMMER,2014,Action,Drama,Mystery,,NAZ,DRAMAtical Murder,,
Drifters,DRIFTERS,DRIFTERS,DRIFTERS,FALL,2016,Action,Adventure,Comedy,Seinen,Hoods Entertainment,Drifters,,
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,Is It Wrong to Try to Pick Up Girls in a Dungeon?,?????????????????????????,SPRING,2015,Action,Adventure,Comedy,,J.C.STAFF,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,,
Eat-Man,EAT-MAN, Eat-Man,EAT-MAN,WINTER,1997,Action,Adventure,Sci-Fi,Shounen,Studio DEEN,Eat-Man,,
Eden's Bowy,Eden's Bowy, Eden's Bowy,????????,SPRING,1999,Adventure,Romance,,,,Eden's Bowy,,
Edens Zero,EDENS ZERO,EDENS ZERO,EDENS ZERO,SPRING,2021,Action,Adventure,Comedy,Shounen,J.C.STAFF,Edens Zero,,
Edomae Elf,Edomae Elf,Otaku Elf,??????,SPRING,2023,Comedy,Slice of Life,Supernatural,Shounen,C2C,Edomae Elf,,
Enen no Shouboutai,Enen no Shouboutai,Fire Force,??????,SUMMER,2019,Action,Drama,Sci-Fi,Shounen,David Production,Enen no Shouboutai,,1800000
Ensemble Stars!,Ensemble Stars!,Ensemble Stars!,??????????!,SUMMER,2019,Music,Slice of Life,,,David Production,Ensemble Stars!,,
Erementar Gerad,Erementar Gerad,Elemental Gelade,???????????,SPRING,2005,Adventure,Comedy,Fantasy,Shounen,Xebec,Erementar Gerad,,
Escha & Logy no Atelier: Tasogare no Sora no Renkinjutsushi,Escha & Logy no Atelier: Tasogare no Sora no Renkinjutsushi,Atelier Escha & Logy ~Alchemists of the Dusk Sky~,???&???????? ~?????????~,SPRING,2014,Adventure,Fantasy,Slice of Life,,Studio Gokumi,Escha & Logy no Atelier: Tasogare no Sora no Renkinjutsushi,,
Etotama,Etotama, Etotama,????,SPRING,2015,Action,Comedy,Fantasy,Shounen,Shirogumi,Etotama,,
Ex-Arm,EX-ARM,EX-ARM,EX-ARM ??????,WINTER,2021,Action,Sci-Fi,,Seinen,Visual Flight,Ex-Arm,,
Eyeshield 21,Eyeshield 21,Eyeshield 21,??????21,SPRING,2005,Action,Comedy,Sports,Shounen,Studio Gallop,Eyeshield 21,27126,
F,F, F,F,SPRING,1988,Sports,,,Shounen,Studio DEEN,F,,
Fairy Tail,FAIRY TAIL,Fairy Tail,FAIRY TAIL,FALL,2009,Action,Adventure,Comedy,Shounen,Satelight,Fairy Tail,7234,
Fantasy Bishoujo Juniku Ojisan to,Fantasy Bishoujo Juniku Oji-san to,Life With an Ordinary Guy Who Reincarnated Into a Total Fantasy Knockout,?????????????,WINTER,2022,Adventure,Comedy,Fantasy,Shounen,OLM,Fantasy Bishoujo Juniku Ojisan to,,
Fate/Apocrypha,Fate/Apocrypha,Fate/Apocrypha,Fate/Apocrypha,SUMMER,2017,Action,Drama,Fantasy,,A-1 Pictures,Fate/Apocrypha,,
Fate/stay night,Fate/stay night,Fate/stay night,Fate/stay night,WINTER,2006,Action,Fantasy,Romance,,Studio DEEN,Fate/stay night,,
Fate/stay night: Unlimited Blade Works,Fate/stay night: Unlimited Blade Works,Fate/stay night: Unlimited Blade Works,Fate/stay night [Unlimited Blade Works],FALL,2014,Action,Fantasy,Supernatural,,ufotable,Fate/stay night: Unlimited Blade Works,,
Fate/Zero,Fate/Zero,Fate/Zero,Fate/Zero,FALL,2011,Action,Drama,Fantasy,,ufotable,Fate/Zero,,
Flying Witch,Flying Witch,Flying Witch,?????????,SPRING,2016,Slice of Life,Supernatural,,Shounen,J.C.STAFF,Flying Witch,,
Fractale,Fractale,Fractale,?????,WINTER,2011,Adventure,Fantasy,Sci-Fi,,A-1 Pictures,Fractale,,
Fresh Precure!,Fresh Precure!, Fresh Pretty Cure!,??????????!,WINTER,2009,Action,Comedy,Fantasy,,Toei Animation,Fresh Precure!,,
Fruits Basket,Fruits Basket,Fruits Basket,?????????,SUMMER,2001,Comedy,Drama,Romance,Shoujo,Studio DEEN,Fruits Basket,30107,
Fudanshi Koukou Seikatsu,Fudanshi Koukou Seikatsu,The Highschool Life of a Fudanshi,???????,SUMMER,2016,Comedy,Slice of Life,,Josei,EMT Squared,Fudanshi Koukou Seikatsu,,
Fukigen na Mononokean,Fukigen na Mononokean,The Morose Mononokean,?????????,SUMMER,2016,Supernatural,,,Shounen,Studio Signpost,Fukigen na Mononokean,,
Fukumenkei Noise,Fukumenkei Noise,Anonymous Noise,??????,SPRING,2017,Music,Romance,,Shoujo,Brain's Base,Fukumenkei Noise,,
Full Metal Panic!,Full Metal Panic!,Full Metal Panic!,??????????!,WINTER,2002,Action,Comedy,Mecha,,GONZO,Full Metal Panic!,,
Full Moon wo Sagashite,Full Moon wo Sagashite,Looking for the Full Moon,???????,SPRING,2002,Comedy,Drama,Mahou Shoujo,Shoujo,Studio DEEN,Full Moon wo Sagashite,,
Fullmetal Alchemist,Hagane no Renkinjutsushi,Fullmetal Alchemist,??????,FALL,2003,Action,Adventure,Drama,Shounen,bones,Fullmetal Alchemist,8029,
Fumetsu no Anata e,Fumetsu no Anata e,To Your Eternity,???????,SPRING,2021,Adventure,Drama,Fantasy,Shounen,Brain's Base,Fumetsu no Anata e,,
Fumikiri Jikan,Fumikiri Jikan,Crossing Time,????,SPRING,2018,Comedy,Slice of Life,,Seinen,EKACHI EPILKA,Fumikiri Jikan,,
Fune wo Amu,Fune wo Amu,The Great Passage,????,FALL,2016,Drama,Romance,Slice of Life,Josei,ZEXCS,Fune wo Amu,,
Fushigi na Melmo,Fushigi na Melmo, Marvelous Melmo,???????,FALL,1971,Adventure,Comedy,Drama,Shoujo,Tezuka Productions,Fushigi na Melmo,,
Fushigi Yuugi,Fushigi Yuugi,Fushigi Yugi: The Mysterious Play,?????,SPRING,1995,Adventure,Comedy,Drama,Shoujo,Studio Pierrot,Fushigi Yuugi,,
Futakoi Alternative,Futakoi Alternative,Futakoi Alternative,???? ???????,SPRING,2005,Comedy,Drama,Romance,,ufotable,Futakoi Alternative,,
Futari wa Precure,Futari wa Precure,Precure,?????????,WINTER,2004,Action,Adventure,Comedy,,Toei Animation,Futari wa Precure,,
Futatsu no Spica,Futatsu no Spica,Twin Spica,???????,FALL,2003,Drama,Sci-Fi,Supernatural,Seinen,Group TAC,Futatsu no Spica,,
GA: Geijutsuka Art Design Class,GA: Geijutsuka Art Design Class,GA Geijutsuka Art Design Class,GA ?????????????,SUMMER,2009,Comedy,Slice of Life,,Seinen,AIC Plus+,GA: Geijutsuka Art Design Class,,
Gabriel DropOut,Gabriel Dropout,Gabriel DropOut,????????????,WINTER,2017,Comedy,Slice of Life,Supernatural,Shounen,Doga Kobo,Gabriel DropOut,,
"Gaikotsu Kishi-sama, Tadaima Isekai e Odekakechuu","Gaikotsu Kishi-sama, Tadaima Isekai e Odekakechuu",Skeleton Knight in Another World,?????????????????,SPRING,2022,Action,Adventure,Comedy,,Studio KAI,"Gaikotsu Kishi-sama, Tadaima Isekai e Odekakechuu",,
Gaikotsu Shotenin Honda-san,Gaikotsu Shotenin Honda-san,Skull-face Bookseller Honda-san,???????????,FALL,2018,Comedy,Slice of Life,,Shoujo,DLE,Gaikotsu Shotenin Honda-san,,
Gakkougurashi!,Gakkou Gurashi!,SCHOOL-LIVE!,???????!,SUMMER,2015,Horror,Mystery,Psychological,Seinen,Lerche,Gakkougurashi!,,
Gakuen Alice,Gakuen Alice, Alice Academy,?????,FALL,2004,Comedy,Drama,Fantasy,Shoujo,Group TAC,Gakuen Alice,,
Gakuen Babysitters,Gakuen Babysitters,School Babysitters,??????????,WINTER,2018,Comedy,Slice of Life,,Shoujo,Brain's Base,Gakuen Babysitters,,
Gakuen Utopia Manabi Straight!,Gakuen Utopia Manabi Straight!, Manabi Straight!,????????? ????????!,WINTER,2007,Comedy,Sci-Fi,Slice of Life,,ufotable,Gakuen Utopia Manabi Straight!,,
Gal to Kyouryuu,Gal to Kyouryuu,Gal & Dino,??????,SPRING,2020,Comedy,Slice of Life,,Seinen,Space Neko Company,Gal to Kyouryuu,,
Galaxy Angel,Galaxy Angel,Galaxy Angel,???????????,SPRING,2001,Comedy,Sci-Fi,,,MADHOUSE,Galaxy Angel,,
Gamers!,Gamers!,GAMERS!,?????!,SUMMER,2017,Comedy,Drama,Romance,,PINE JAM,Gamers!,,
Ganbare Genki,Ganbare Genki," Do Your Best, Genki",??????,SUMMER,1980,Action,Comedy,Sports,Shounen,Toei Animation,Ganbare Genki,,
Gangsta.,GANGSTA.,GANGSTA.,GANGSTA.,SUMMER,2015,Action,Drama,,Seinen,Manglobe,Gangsta.,,
Gankutsuou,Gankutsuou,Gankutsuou: The Count of Monte Cristo,???,FALL,2004,Drama,Mystery,Sci-Fi,,GONZO,Gankutsuou,,
Gate Keepers,Gate Keepers,Gate Keepers,????????,SPRING,2000,Action,Comedy,Fantasy,,GONZO,Gate Keepers,,
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri","GATE: Jieitai Kanochi nite, Kaku Tatakaeri",Gate,GATE ??? ???????????,SUMMER,2015,Action,Adventure,Fantasy,,A-1 Pictures,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",,
Gekkan Shoujo Nozaki-kun,Gekkan Shoujo Nozaki-kun,Monthly Girls' Nozaki-kun,????????,SUMMER,2014,Comedy,Romance,Slice of Life,Shounen,Doga Kobo,Gekkan Shoujo Nozaki-kun,,
Genei wo Kakeru Taiyou,Genei wo Kakeru Taiyou,Day Break Illusion,????????,SUMMER,2013,Action,Mahou Shoujo,,,AIC,Genei wo Kakeru Taiyou,,
Genjitsu Shugi Yuusha no Oukoku Saikenki,Genjitsu Shugi Yuusha no Oukoku Saikenki,How a Realist Hero Rebuilt the Kingdom,????????????,SUMMER,2021,Action,Adventure,Fantasy,,J.C.STAFF,Genjitsu Shugi Yuusha no Oukoku Saikenki,,
Genshiken,Genshiken,Genshiken,?????,FALL,2004,Comedy,Slice of Life,,Seinen,Palm Studio,Genshiken,,
GetBackers,GetBackers: Dakkanya,GetBackers,GetBackers ???,FALL,2002,Action,Comedy,Drama,Shounen,Studio DEEN,GetBackers,,
Getter Robo,Getter Robo,Getter Robo,??????,SPRING,1974,Action,Mecha,Sci-Fi,Shounen,Toei Animation,Getter Robo,,
Ghost Hunt,Ghost Hunt,Ghost Hunt,???????,FALL,2006,Comedy,Horror,Mystery,Shoujo,J.C.STAFF,Ghost Hunt,,
Gi(a)rlish Number,Gi(a)rlish Number,Girlish Number,?????? ????,FALL,2016,Comedy,Slice of Life,,,diomedéa,Gi(a)rlish Number,,
Giant Killing,GIANT KILLING,Giant Killing,GIANT KILLING,SPRING,2010,Drama,Sports,,Seinen,Studio DEEN,Giant Killing,23157,
Gilgamesh,Gilgamesh, Gilgamesh,???????,FALL,2003,Drama,Fantasy,Sci-Fi,,Group TAC,Gilgamesh,,
Gin no Saji,Gin no Saji,Silver Spoon,???,SUMMER,2013,Comedy,Slice of Life,,Shounen,A-1 Pictures,Gin no Saji,,12000000
Ginban Kaleidoscope,Ginban Kaleidoscope,Skating Rink Kaleidoscope,??????????,FALL,2005,Drama,Romance,Sports,Shoujo,Karaku,Ginban Kaleidoscope,,
Ginga Densetsu Weed,Ginga Densetsu Weed, Silver Fang Legend Weed,????????,FALL,2005,Action,Adventure,Drama,Shounen,,Ginga Densetsu Weed,,
Ginga Nagareboshi Gin,Ginga: Nagareboshi Gin,Silver Fang: The Shooting Star Gin,?? -??? ?-,SPRING,1986,Action,Adventure,Drama,Shounen,Toei Animation,Ginga Nagareboshi Gin,,
Ginga Tetsudou 999,Ginga Tetsudou 999,Galaxy Express 999,????999,FALL,1978,Adventure,Drama,Mecha,Shounen,Toei Animation,Ginga Tetsudou 999,,
Gingitsune,Gingitsune,Gingitsune: Messenger Fox of the Gods,?????,FALL,2013,Slice of Life,Supernatural,,Seinen,diomedéa,Gingitsune,,
Gintama,Gintama,Gintama,??,SPRING,2006,Action,Comedy,Drama,Shounen,Sunrise,Gintama,7333,
Girls & Panzer,Girls und Panzer Specials,Girls und Panzer OVA Series,????&?????,WINTER,2013,Action,Slice of Life,Sports,,Actas,Girls & Panzer,,
Given,Given,given,???,SUMMER,2019,Drama,Music,Romance,,Lerche,Given,,
GJ-bu,GJ-bu,GJ Club,GJ?,WINTER,2013,Comedy,Slice of Life,,,Doga Kobo,GJ-bu,,
Glass no Kamen,Glass no Kamen,Glass Mask,??????,SPRING,1984,Drama,Romance,,Shoujo,Eiken,Glass no Kamen,,
Goblin Slayer,Goblin Slayer,GOBLIN SLAYER,?????????,FALL,2018,Action,Adventure,Fantasy,,WHITE FOX,Goblin Slayer,,
Gochuumon wa Usagi desu ka?,Gochuumon wa Usagi desu ka?,Is the Order a Rabbit?,???????????,SPRING,2014,Slice of Life,,,Seinen,WHITE FOX,Gochuumon wa Usagi desu ka?,,
Gokinjo Monogatari,Gokinjo Monogatari, Neighborhood Story,?????,FALL,1995,Comedy,Drama,Romance,Shoujo,Toei Animation,Gokinjo Monogatari,,
Gokukoku no Brynhildr,Gokukoku no Brynhildr,Brynhildr in the Darkness,??????????,SPRING,2014,Drama,Fantasy,Mystery,Seinen,Arms,Gokukoku no Brynhildr,,
Gokusen,Gokusen,The Gokusen,????,WINTER,2004,Comedy,Drama,Slice of Life,Josei,MADHOUSE,Gokusen,,
Golden Kamuy,Golden Kamuy,Golden Kamuy,????????,SPRING,2018,Action,Adventure,Comedy,Seinen,Geno Studio,Golden Kamuy,30109,
Golden Time,Golden Time,Golden Time,????????,,,Comedy,Fantasy,,,,Golden Time,,
Gon,Gon, Gon,??,WINTER,2020,Adventure,Fantasy,,,,Gon,,
Gosick,GOSICK,Gosick,GOSICK,WINTER,2011,Drama,Mystery,Romance,,bones,Gosick,,
Grancrest Senki,Grancrest Senki,Record of Grancrest War,?????????,WINTER,2018,Action,Fantasy,Romance,,A-1 Pictures,Grancrest Senki,,
Grand Blue,Grand Blue,Grand Blue Dreaming,?????,SUMMER,2018,Comedy,Slice of Life,Sports,Seinen,Zero-G,Grand Blue,,
Gravitation,Gravitation,Gravitation TV,????????,FALL,2000,Comedy,Music,Romance,Shoujo,Studio DEEN,Gravitation,,
Great Pretender,GREAT PRETENDER,Great Pretender,GREAT PRETENDER,SPRING,2020,Action,Comedy,Drama,,WIT STUDIO,Great Pretender,,
Gugure! Kokkuri-san,Gugure! Kokkuri-san,Gugure! Kokkuri-san,???!??????,FALL,2014,Comedy,Supernatural,,Shounen,TMS Entertainment,Gugure! Kokkuri-san,,
Guilty Crown,Guilty Crown,Guilty Crown,????????,FALL,2011,Action,Drama,Mecha,,Production I.G,Guilty Crown,,
Guin Saga,Guin Saga,Guin Saga,???????,SPRING,2009,Action,Adventure,Fantasy,,Satelight,Guin Saga,,
Gun Frontier,Gun Frontier, Gun Frontier,????????,SPRING,2002,Action,Adventure,Sci-Fi,Shounen,Vega Entertainment,Gun Frontier,,
Gunslinger Girl,GUNSLINGER GIRL,Gunslinger Girl,GUNSLINGER GIRL,FALL,2003,Action,Drama,Psychological,Seinen,MADHOUSE,Gunslinger Girl,,
H2,H2, H2,H2,SUMMER,1995,Comedy,Romance,Sports,Shounen,Ashi Productions,H2,5544,
H2O: Footprints in the Sand,H2O: FOOTPRINTS IN THE SAND,H2O: Footprints in the Sand,H2O ~FOOTPRINTS IN THE SAND~,WINTER,2008,Romance,,,,ZEXCS,H2O: Footprints in the Sand,,
