Manga Title,Anime Title,Season,Genre-1,Genre-2,Genre-3,Demographic,Studio,Manga Sales Pre-Anime,Platform_ABEMA_JP,Rating_ABEMA_JP,Platform_TV_JP,Rating_TV_JP,Platform_Crunchyroll_US,Rating_Crunchyroll_US,Platform_Netflix_US,Rating_Netflix_US,Platform_Netflix_PH,Rating_Netflix_PH,Platform_Bilibili_PH,Rating_Bilibili_PH
,Eden's Bowy,SPRING,Action,Romance,Adventure,Shounen,Studio DEEN,,,,,,,,,,,,,
,EDENS ZERO,SPRING,Action,Adventure,Comedy,Shounen,J.C.STAFF,,,,,,,,,,,,,
,Otaku Elf,SPRING,Comedy,Slice of Life,Supernatural,Shounen,C2C,,,,,,,,,,,,,
,Fire Force,SUMMER,Action,Drama,Sci-Fi,Shounen,David Production,,,,,,,,,,,,,
,Ensemble Stars!,SUMMER,Music,Slice of Life,,Shoujo,David Production,,,,,,,,,,,,,
,Elemental Gelade,SPRING,Adventure,Comedy,Fantasy,Shounen,Xebec,,,,,,,,,,,,,
,Atelier Escha & Logy ~Alchemists of the Dusk Sky~,SPRING,Adventure,Fantasy,Slice of Life,Seinen,Studio Gokumi,,,,,,,,,,,,,
,Etotama,SPRING,Action,Comedy,Fantasy,Shounen,Shirogumi,,,,,,,,,,,,,
,EX-ARM,WINTER,Action,Sci-Fi,,Seinen,Visual Flight,,,,,,,,,,,,,
,Eyeshield 21,SPRING,Action,Comedy,Sports,Shounen,Studio Gallop,,,,,,,,,,,,,
,F,SPRING,Sports,Drama,,Shounen,Studio DEEN,,,,,,,,,,,,,
,Fairy Tail,FALL,Action,Adventure,Comedy,Shounen,Satelight,,,,,,,,,,,,,
,Life With an Ordinary Guy Who Reincarnated Into a Total Fantasy Knockout,WINTER,Adventure,Comedy,Fantasy,Shounen,OLM,,,,,,,,,,,,,
,Fate/Apocrypha,SUMMER,Action,Drama,Fantasy,Seinen,A-1 Pictures,,,,,,,,,,,,,
,Fate/stay night,WINTER,Action,Fantasy,Romance,Seinen,Studio DEEN,,,,,,,,,,,,,
,Fate/stay night: Unlimited Blade Works,FALL,Action,Fantasy,Supernatural,Seinen,ufotable,,,,,,,,,,,,,
,Fate/Zero,FALL,Action,Drama,Fantasy,Seinen,ufotable,,,,,,,,,,,,,
,Flying Witch,SPRING,Slice of Life,Supernatural,Supernatural,Shounen,J.C.STAFF,,,,,,,,,,,,,
,Fractale,WINTER,Adventure,Fantasy,Sci-Fi,Seinen,A-1 Pictures,,,,,,,,,,,,,
,Fresh Precure!,WINTER,Action,Comedy,Fantasy,Shoujo,Toei Animation,,,,,,,,,,,,,
,Fruits Basket,SUMMER,Comedy,Drama,Romance,Shoujo,Studio DEEN,,,,,,,,,,,,,
,The Highschool Life of a Fudanshi,SUMMER,Comedy,Slice of Life,School,Josei,EMT Squared,,,,,,,,,,,,,
,The Morose Mononokean,SUMMER,Supernatural,Comedy,Fantasy,Shounen,Studio Signpost,,,,,,,,,,,,,
,Anonymous Noise,SPRING,Music,Romance,Drama,Shoujo,Brain's Base,,,,,,,,,,,,,
,Full Metal Panic!,WINTER,Action,Comedy,Mecha,Seinen,GONZO,,,,,,,,,,,,,
,Looking for the Full Moon,SPRING,Comedy,Drama,Magical Girl,Shoujo,Studio DEEN,,,,,,,,,,,,,
,Fullmetal Alchemist,FALL,Action,Adventure,Drama,Shounen,bones,,,,,,,,,,,,,
,To Your Eternity,SPRING,Adventure,Drama,Fantasy,Shounen,Brain's Base,,,,,,,,,,,,,
,Crossing Time,SPRING,Comedy,Slice of Life,,Seinen,EKACHI EPILKA,,,,,,,,,,,,,
,The Great Passage,FALL,Drama,Romance,Slice of Life,Josei,ZEXCS,,,,,,,,,,,,,
,Fushigi na Melmo,FALL,Adventure,Comedy,Drama,Shoujo,Tezuka Productions,,,,,,,,,,,,,
,Fushigi Yugi: The Mysterious Play,SPRING,Adventure,Comedy,Drama,Shoujo,Studio Pierrot,,,,,,,,,,,,,
,Futakoi Alternative,SPRING,Comedy,Drama,Romance,Seinen,ufotable,,,,,,,,,,,,,
,Precure,WINTER,Action,Adventure,Comedy,Shoujo,Toei Animation,,,,,,,,,,,,,
,Twin Spica,FALL,Drama,Sci-Fi,Supernatural,Seinen,Group TAC,,,,,,,,,,,,,
,GA Geijutsuka Art Design Class,SUMMER,Comedy,Slice of Life,Slice of Life,Seinen,AIC Plus+,,,,,,,,,,,,,
,Gabriel DropOut,WINTER,Comedy,Slice of Life,Supernatural,Shounen,Doga Kobo,,,,,,,,,,,,,
,Skeleton Knight in Another World,SPRING,Action,Adventure,Comedy,Shounen,Studio KAI,,,,,,,,,,,,,
,Skull-face Bookseller Honda-san,FALL,Comedy,Slice of Life,,Shoujo,DLE,,,,,,,,,,,,,
,SCHOOL-LIVE!,SUMMER,Horror,Mystery,Psychological,Seinen,Lerche,,,,,,,,,,,,,
,Gakuen Alice,FALL,Comedy,Drama,Fantasy,Shoujo,Group TAC,,,,,,,,,,,,,
,School Babysitters,WINTER,Comedy,Slice of Life,,Shoujo,Brain's Base,,,,,,,,,,,,,
,Gakuen Utopia Manabi Straight!,WINTER,Comedy,Sci-Fi,Slice of Life,Seinen,ufotable,,,,,,,,,,,,,
,Gal & Dino,SPRING,Comedy,Slice of Life,,Seinen,Space Neko Company,,,,,,,,,,,,,
,Galaxy Angel,SPRING,Comedy,Sci-Fi,,Shounen,MADHOUSE,,,,,,,,,,,,,
,GAMERS!,SUMMER,Comedy,Drama,Romance,Seinen,PINE JAM,,,,,,,,,,,,,
,Ganbare Genki,SUMMER,Action,Comedy,Sports,Shounen,Toei Animation,,,,,,,,,,,,,
,GANGSTA.,SUMMER,Action,Drama,,Seinen,Manglobe,,,,,,,,,,,,,
,Gankutsuou: The Count of Monte Cristo,FALL,Drama,Mystery,Sci-Fi,Seinen,GONZO,,,,,,,,,,,,,
,Gate Keepers,SPRING,Action,Comedy,Fantasy,Shounen,GONZO,,,,,,,,,,,,,
,Gate,SUMMER,Action,Adventure,Fantasy,Seinen,A-1 Pictures,,,,,,,,,,,,,
,Monthly Girls' Nozaki-kun,SUMMER,Comedy,Romance,Slice of Life,Shounen,Doga Kobo,,,,,,,,,,,,,
,Day Break Illusion,SUMMER,Action,Magical Girl,Fantasy,Seinen,AIC,,,,,,,,,,,,,
,How a Realist Hero Rebuilt the Kingdom,SUMMER,Action,Adventure,Fantasy,Seinen,J.C.STAFF,,,,,,,,,,,,,
,Genshiken,FALL,Comedy,Slice of Life,,Seinen,Palm Studio,,,,,,,,,,,,,
,GetBackers,FALL,Action,Comedy,Drama,Shounen,Studio DEEN,,,,,,,,,,,,,
,Getter Robo,SPRING,Action,Mecha,Sci-Fi,Shounen,Toei Animation,,,,,,,,,,,,,
,Ghost Hunt,FALL,Comedy,Horror,Mystery,Shoujo,J.C.STAFF,,,,,,,,,,,,,
,Girlish Number,FALL,Comedy,Slice of Life,,Seinen,diomedéa,,,,,,,,,,,,,
,Giant Killing,SPRING,Drama,Sports,,Seinen,Studio DEEN,,,,,,,,,,,,,
,Gilgamesh,FALL,Drama,Fantasy,Sci-Fi,Seinen,Group TAC,,,,,,,,,,,,,
,Silver Spoon,SUMMER,Comedy,Slice of Life,School,Shounen,A-1 Pictures,,,,,,,,,,,,,
,Skating Rink Kaleidoscope,FALL,Drama,Romance,Sports,Shoujo,Karaku,,,,,,,,,,,,,
,Ginga Densetsu Weed,FALL,Action,Adventure,Drama,Seinen,Studio DEEN,,,,,,,,,,,,,
,Ginga Nagareboshi Gin,SPRING,Action,Adventure,Drama,Shounen,Toei Animation,,,,,,,,,,,,,
,Galaxy Express 999,FALL,Adventure,Drama,Mecha,Shounen,Toei Animation,,,,,,,,,,,,,
,Gingitsune: Messenger Fox of the Gods,FALL,Slice of Life,Supernatural,,Seinen,diomedéa,,,,,,,,,,,,,
,Gintama,SPRING,Action,Comedy,Drama,Shounen,Sunrise,,,,,,,,,,,,,
,Girls und Panzer,WINTER,Action,Slice of Life,Sports,Seinen,Actas,,,,,,,,,,,,,
,given,SUMMER,Drama,Music,Romance,Seinen,Lerche,,,,,,,,,,,,,
,GJ Club,WINTER,Comedy,Slice of Life,School,Seinen,Doga Kobo,,,,,,,,,,,,,
,Glass Mask,SPRING,Drama,Romance,,Shoujo,Eiken,,,,,,,,,,,,,
,GOBLIN SLAYER,FALL,Action,Adventure,Fantasy,Seinen,WHITE FOX,,,,,,,,,,,,,
,Is the Order a Rabbit?,SPRING,Slice of Life,Comedy,,Seinen,WHITE FOX,,,,,,,,,,,,,
,Gokinjo Monogatari,FALL,Comedy,Drama,Romance,Shoujo,Toei Animation,,,,,,,,,,,,,
,Brynhildr in the Darkness,SPRING,Drama,Fantasy,Mystery,Seinen,Arms,,,,,,,,,,,,,
,The Gokusen,WINTER,Comedy,Drama,Slice of Life,Josei,MADHOUSE,,,,,,,,,,,,,
,Golden Kamuy,SPRING,Action,Adventure,Comedy,Seinen,Geno Studio,,,,,,,,,,,,,
,Golden Time,FALL,Romance,Comedy,Supernatural,Seinen,J.C.STAFF,,,,,,,,,,,,,
,Gon,SPRING,Adventure,Fantasy,Action,Kodomo,Daewon Media,,,,,,,,,,,,,
,Gosick,WINTER,Drama,Mystery,Romance,Seinen,bones,,,,,,,,,,,,,
,Record of Grancrest War,WINTER,Action,Fantasy,Romance,Seinen,A-1 Pictures,,,,,,,,,,,,,
,Grand Blue Dreaming,SUMMER,Comedy,Slice of Life,Sports,Seinen,Zero-G,,,,,,,,,,,,,
,Gravitation TV,FALL,Comedy,Music,Romance,Shoujo,Studio DEEN,,,,,,,,,,,,,
,Great Pretender,SPRING,Action,Comedy,Drama,Seinen,WIT STUDIO,,,,,,,,,,,,,
,Gugure! Kokkuri-san,FALL,Comedy,Supernatural,,Shounen,TMS Entertainment,,,,,,,,,,,,,
,Guilty Crown,FALL,Action,Drama,Mecha,Seinen,Production I.G,,,,,,,,,,,,,
,Guin Saga,SPRING,Action,Adventure,Fantasy,Seinen,Satelight,,,,,,,,,,,,,
,Gun Frontier,SPRING,Action,Adventure,Sci-Fi,Shounen,Vega Entertainment,,,,,,,,,,,,,
,Gunslinger Girl,FALL,Action,Drama,Psychological,Seinen,MADHOUSE,,,,,,,,,,,,,
,H2,SUMMER,Comedy,Romance,Sports,Shounen,Ashi Productions,,,,,,,,,,,,,
,H2O: Footprints in the Sand,WINTER,Romance,Romance,Supernatural,Seinen,ZEXCS,,,,,,,,,,,,,
,The 8th Son? Are You Kidding Me?,SPRING,Adventure,Fantasy,,Shounen,SynergySP,,,,,,,,,,,,,
,Honey and Clover,SPRING,Comedy,Drama,Romance,Josei,J.C.STAFF,,,,,,,,,,,,,
,Grimgar of Fantasy and Ash,WINTER,Action,Adventure,Drama,Seinen,A-1 Pictures,,,,,,,,,,,,,
,Smart-san,SUMMER,Drama,Romance,Slice of Life,Shoujo,Nippon Animation,,,,,,,,,,,,,
,HAIKYU!!,SPRING,Comedy,Drama,Sports,Shounen,Production I.G,,,,,,,,,,,,,
,Haiyoru! Nyaruani,SPRING,Comedy,Sci-Fi,Parody,Seinen,DLE,,,,,,,,,,,,,
,Hajime No Ippo: The Fighting! - Rising -,FALL,Comedy,Drama,Sports,Shounen,MADHOUSE,,,,,,,,,,,,,
,Hakata Tonkotsu Ramens,WINTER,Action,Mystery,,Seinen,Satelight,,,,,,,,,,,,,
,Hakkenden: Eight Dogs of the East,WINTER,Action,Fantasy,Supernatural,Shoujo,Studio DEEN,,,,,,,,,,,,,
,Hakumei and Mikochi,WINTER,Fantasy,Slice of Life,,Seinen,Lerche,,,,,,,,,,,,,
,Hakuoki ~Demon of the Fleeting Blossom~,SPRING,Action,Drama,Supernatural,Shoujo,Studio DEEN,,,,,,,,,,,,,
,Earl and Fairy,FALL,Adventure,Fantasy,Romance,Shoujo,Artland,,,,,,,,,,,,,
,Hamster Club,FALL,Comedy,Slice of Life,,Kodomo,Vega Entertainment,,,,,,,,,,,,,
,Hana Yori Dango (Boys Over Flowers),FALL,Comedy,Drama,Romance,Shoujo,Toei Animation,,,,,,,,,,,,,
,Hanada Shounen-shi,FALL,Comedy,Drama,Slice of Life,Seinen,MADHOUSE,,,,,,,,,,,,,
,Hanamaru Kindergarten,WINTER,Comedy,Romance,Slice of Life,Seinen,Gainax,,,,,,,,,,,,,
,Hanasakeru Seishounen,SPRING,Drama,Romance,,Shoujo,Studio Pierrot,,,,,,,,,,,,,
,Hanasaku Iroha ~Blossoms for Tomorrow~,SPRING,Drama,Slice of Life,Romance,Seinen,P.A.WORKS,,,,,,,,,,,,,
,HaNaYaMaTa,SUMMER,Comedy,Slice of Life,School,Seinen,MADHOUSE,,,,,,,,,,,,,
,Looking Up at the Half-Moon,WINTER,Comedy,Drama,Romance,Seinen,Group TAC,,,,,,,,,,,,,
,Handa-kun,SUMMER,Comedy,Slice of Life,,Shounen,diomedéa,,,,,,,,,,,,,
,HANEBADO!,SUMMER,Drama,Slice of Life,Sports,Seinen,LIDENFILMS,,,,,,,,,,,,,
,Happiness!,FALL,Comedy,Romance,School,Seinen,Artland,,,,,,,,,,,,,
,Happy Happy Clover,SUMMER,Comedy,Fantasy,Slice of Life,Shoujo,Group TAC,,,,,,,,,,,,,
,Happy Sugar Life,SUMMER,Drama,Horror,Mystery,Seinen,Ezo’la,,,,,,,,,,,,,
,Hataraki Man,FALL,Comedy,Drama,Romance,Seinen,Gallop,,,,,,,,,,,,,
,The Devil is a Part-Timer!,SPRING,Comedy,Fantasy,Romance,Seinen,WHITE FOX,,,,,,,,,,,,,
,Cells at Work!,SUMMER,Action,Comedy,Sci-Fi,Shounen,David Production,,,,,,,,,,,,,
,Hatenkou Yugi,WINTER,Adventure,Comedy,Drama,Josei,Studio DEEN,,,,,,,,,,,,,
,First Love Monster,SUMMER,Comedy,Romance,,Shoujo,Studio DEEN,,,,,,,,,,,,,
,Hayate the Combat Butler!!,SPRING,Action,Comedy,Romance,Shounen,J.C.STAFF,,,,,,,,,,,,,
,Heat Guy J,FALL,Action,Adventure,Mecha,Seinen,Satelight,,,,,,,,,,,,,
,Heavy Object,FALL,Action,Comedy,Mecha,Shounen,J.C.STAFF,,,,,,,,,,,,,
,The Idaten Deities Know Only Peace,SUMMER,Action,Adventure,Fantasy,Seinen,MAPPA,,,,,,,,,,,,,
,Hellsing,FALL,Action,Horror,Supernatural,Seinen,GONZO,,,,,,,,,,,,,
,Hentai Prince & the Stony Cat,SPRING,Comedy,Romance,Supernatural,Seinen,J.C.STAFF,,,,,,,,,,,,,
,HEROMAN,SPRING,Action,Mecha,Sci-Fi,Shounen,bones,,,,,,,,,,,,,
,Phoenix,SPRING,Adventure,Drama,Sci-Fi,Shounen,Tezuka Productions,,,,,,,,,,,,,
,Sunny Ryoko,SPRING,Comedy,Romance,Sports,Shoujo,Group TAC,,,,,,,,,,,,,
,Sound! Euphonium,SPRING,Drama,Music,Slice of Life,Seinen,Kyoto Animation,,,,,,,,,,,,,
,Hidamari no Ki,SPRING,Drama,Drama,Samurai,Seinen,MADHOUSE,,,,,,,,,,,,,
,Hidamari Sketch,WINTER,Comedy,Slice of Life,,Seinen,Shaft,,,,,,,,,,,,,
,"Higehiro: After Being Rejected, I Shaved and Took in a High School Runaway",SPRING,Drama,Romance,Slice of Life,Seinen,project No.9,,,,,,,,,,,,,
,The Most Heretical Last Boss Queen: From Villainess to Savior,SUMMER,Comedy,Fantasy,Romance,Josei,OLM,,,,,,,,,,,,,
,High School! Kimengumi,FALL,Comedy,Romance,,Shounen,Studio Comet,,,,,,,,,,,,,
,Hi Score Girl: Extra Stage,WINTER,Comedy,Drama,Romance,Seinen,J.C.STAFF,,,,,,,,,,,,,
,Hikari no Densetsu,SPRING,Music,Romance,Sports,Shoujo,Tatsunoko Production,,,,,,,,,,,,,
,Hikaru no Go,FALL,Comedy,Sports,Supernatural,Shounen,Studio Pierrot,,,,,,,,,,,,,
,Hime-chan no Ribbon,FALL,Comedy,Fantasy,Magical Girl,Shoujo,Studio Gallop,,,,,,,,,,,,,
,Himouto! Umaru-chan,SUMMER,Comedy,Slice of Life,,Seinen,Doga Kobo,,,,,,,,,,,,,
,Hinako Note,SPRING,Comedy,Slice of Life,School,Seinen,Passione,,,,,,,,,,,,,
,Hinomaru Sumo,FALL,Action,Sports,,Shounen,GONZO,,,,,,,,,,,,,
,Hitohira,SPRING,Drama,Romance,Slice of Life,Seinen,Xebec,,,,,,,,,,,,,
,Hitorijime My Hero,SUMMER,Romance,Slice of Life,Slice of Life,Shoujo,Encourage Films,,,,,,,,,,,,,
,Chaika -The Coffin Princess-,SPRING,Action,Adventure,Comedy,Seinen,bones,,,,,,,,,,,,,
,Fist of the North Star,FALL,Action,Drama,Sci-Fi,Shounen,Toei Animation,,,,,,,,,,,,,
,Mirage of Blaze,WINTER,Action,Drama,Romance,Shoujo,MADHOUSE,,,,,,,,,,,,,
,Honoo no Toukyuuji: Dodge Danpei,FALL,Comedy,Sports,,Shounen,Animation 21,,,,,,,,,,,,,
,Ascendance of a Bookworm,FALL,Fantasy,Slice of Life,,Josei,Ajiado,,,,,,,,,,,,,
,Hozuki's Coolheadedness,WINTER,Comedy,Fantasy,Supernatural,Seinen,WIT STUDIO,,,,,,,,,,,,,
,Horimiya,WINTER,Comedy,Romance,Slice of Life,Shounen,CloverWorks,,,,,,,,,,,,,
,Lucifer and the Biscuit Hammer,SUMMER,Action,Comedy,Drama,Seinen,NAZ,,,,,,,,,,,,,
,After School Dice Club,FALL,Comedy,Slice of Life,,Shounen,LIDENFILMS,,,,,,,,,,,,,
,Diary of Our Days at the Breakwater,SPRING,Comedy,Slice of Life,Sports,Seinen,Doga Kobo,,,,,,,,,,,,,
,Wandering Son,WINTER,Drama,Romance,Slice of Life,Seinen,AIC,,,,,,,,,,,,,
,Land of the Lustrous,FALL,Action,Drama,Fantasy,Seinen,Orange,,,,,,,,,,,,,
,The Case Files of Jeweler Richard,WINTER,Drama,Mystery,Slice of Life,Josei,Shuka,,,,,,,,,,,,,
,Hunter x Hunter,FALL,Action,Adventure,Fantasy,Shounen,Nippon Animation,,,,,,,,,,,,,
,HYAKKO,FALL,Comedy,Slice of Life,Slice of Life,Shounen,Nippon Animation,,,,,,,,,,,,,
,Hyouge Mono,SPRING,Comedy,Drama,,Seinen,Bee Train,,,,,,,,,,,,,
,Hyouka,SPRING,Mystery,Romance,Slice of Life,Seinen,Kyoto Animation,,,,,,,,,,,,,
,Hyper Police,SPRING,Action,Comedy,Fantasy,Shounen,Studio Pierrot,,,,,,,,,,,,,
,Strawberry Marshmallow,SUMMER,Comedy,Slice of Life,,Seinen,Daume,,,,,,,,,,,,,
,IDOLiSH7,FALL,Drama,Music,Slice of Life,Josei,TROYCA,,,,,,,,,,,,,
,"DON'T TOY WITH ME, MISS NAGATORO",SPRING,Comedy,Romance,Slice of Life,Shounen,Telecom Animation Film,,,,,,,,,,,,,
,Ikebukuro West Gate Park,FALL,Drama,Mystery,,Seinen,Doga Kobo,,,,,,,,,,,,,
,Inari Kon Kon,WINTER,Comedy,Romance,Supernatural,Seinen,Production IMS,,,,,,,,,,,,,
,Inazuma Eleven,FALL,Sports,Supernatural,,Shounen,OLM,,,,,,,,,,,,,
,Infinite Dendrogram,WINTER,Action,Adventure,Fantasy,Seinen,NAZ,,,,,,,,,,,,,
,When Supernatural Battles Became Commonplace,FALL,Comedy,Fantasy,Romance,Seinen,TRIGGER,,,,,,,,,,,,,
,Dog & Scissors,SUMMER,Comedy,Supernatural,,Seinen,GONZO,,,,,,,,,,,,,
,Inu X Boku Secret Service,WINTER,Comedy,Romance,Supernatural,Shounen,David Production,,,,,,,,,,,,,
,Inugami-san to Nekoyama-san,SPRING,Comedy,Slice of Life,Slice of Life,Seinen,Seven,,,,,,,,,,,,,
,InuYasha,FALL,Action,Adventure,Comedy,Shounen,Sunrise,,,,,,,,,,,,,
,INUYASHIKI LAST HERO,FALL,Action,Drama,Psychological,Seinen,MAPPA,,,,,,,,,,,,,
,Isekai Cheat Magician,SUMMER,Action,Adventure,Fantasy,Shounen,Encourage Films,,,,,,,,,,,,,
,"I Got a Cheat Skill in Another World and Became Unrivaled in The Real World, Too",SPRING,Action,Adventure,Fantasy,Shounen,Millepensee,,,,,,,,,,,,,
,Farming Life in Another World,WINTER,Fantasy,Slice of Life,,Seinen,Zero-G,,,,,,,,,,,,,
,Uncle from Another World,SUMMER,Adventure,Comedy,Fantasy,Seinen,Atelier Pontdarc,,,,,,,,,,,,,
,My One-Hit Kill Sister,SPRING,Comedy,Fantasy,Romance,Shounen,Gekkou,,,,,,,,,,,,,
,Restaurant to Another World,SUMMER,Fantasy,Slice of Life,,Seinen,SILVER LINK.,,,,,,,,,,,,,
,Summoned to Another World for a Second Time,SPRING,Adventure,Comedy,Fantasy,Shounen,Studio elle,,,,,,,,,,,,,
,In Another World With My Smartphone,SUMMER,Adventure,Comedy,Fantasy,Shounen,Ashi Productions,,,,,,,,,,,,,
,Parallel World Pharmacy,SUMMER,Fantasy,Medical,,Seinen,diomedéa,,,,,,,,,,,,,
,One Week Friends,SPRING,Comedy,Drama,Romance,Shounen,Brain's Base,,,,,,,,,,,,,
,"BOFURI: I Don't Want to Get Hurt, so I'll Max Out My Defense.",WINTER,Action,Adventure,Comedy,Seinen,SILVER LINK.,,,,,,,,,,,,,
,ItaKiss,SPRING,Comedy,Romance,,Shoujo,TMS Entertainment,,,,,,,,,,,,,
,The Great Jahy Will Not Be Defeated!,SUMMER,Comedy,Fantasy,Slice of Life,Shounen,SILVER LINK.,,,,,,,,,,,,,
,Bottom-Tier Character Tomozaki,WINTER,Comedy,Drama,Romance,Seinen,project No.9,,,,,,,,,,,,,
,Dropkick on My Devil!,SUMMER,Comedy,Slice of Life,Supernatural,Seinen,Nomad,,,,,,,,,,,,,
,Toilet-bound Hanako-kun,WINTER,Action,Comedy,Drama,Shounen,Lerche,,,,,,,,,,,,,
,"Reborn as a Vending Machine, I Now Wander the Dungeon",SUMMER,Adventure,Comedy,Fantasy,Seinen,Studio Gokumi,,,,,,,,,,,,,
,Jigoku Sensei Nube,SPRING,Adventure,Comedy,Horror,Shounen,Toei Animation,,,,,,,,,,,,,
,Hell Girl,FALL,Drama,Horror,Mystery,Seinen,Studio DEEN,,,,,,,,,,,,,
,Hell’s Paradise,SPRING,Action,Adventure,Mystery,Shounen,MAPPA,,,,,,,,,,,,,
,My Clueless First Friend,SPRING,Comedy,Romance,Slice of Life,Shounen,Studio Signpost,,,,,,,,,,,,,
,Jingai-san no Yome,FALL,Comedy,Fantasy,Romance,Josei,Saetta,,,,,,,,,,,,,
,Humanity Has Declined,SUMMER,Comedy,Fantasy,Sci-Fi,Seinen,AIC A.S.T.A.,,,,,,,,,,,,,
,Am I Actually the Strongest?,SUMMER,Comedy,Fantasy,Romance,Shounen,Staple Entertainment,,,,,,,,,,,,,
,"Actually, I Am",SUMMER,Comedy,Fantasy,Romance,Shounen,TMS Entertainment,,,,,,,,,,,,,
,JoJo's Bizarre Adventure,FALL,Action,Adventure,Drama,Shounen,APPP,,,,,,,,,,,,,
,Jormungand,SPRING,Action,Adventure,Adventure,Seinen,WHITE FOX,,,,,,,,,,,,,
,Joshi Kausei,SPRING,Comedy,Slice of Life,School,Seinen,Seven,,,,,,,,,,,,,
,Wasteful Days of High School Girls,SUMMER,Comedy,Slice of Life,Slice of Life,Shounen,Passione,,,,,,,,,,,,,
,Joshiraku,SUMMER,Comedy,Slice of Life,,Shounen,J.C.STAFF,,,,,,,,,,,,,
,Castle Town Dandelion,SUMMER,Comedy,Slice of Life,Super Power,Seinen,Production IMS,,,,,,,,,,,,,
,JUJUTSU KAISEN,FALL,Action,Drama,Supernatural,Shounen,MAPPA,,,,,,,,,,,,,
,Kimba the White Lion,FALL,Adventure,Drama,,Shounen,Mushi Productions,,,,,,,,,,,,,
,Maria the Virgin Witch,WINTER,Comedy,Fantasy,Romance,Seinen,Production I.G,,,,,,,,,,,,,
,Jyu-Oh-Sei: Planet of the Beast King,SPRING,Action,Adventure,Drama,Shoujo,bones,,,,,,,,,,,,,
,The Twelve Kingdoms,SPRING,Action,Adventure,Fantasy,Shoujo,Studio Pierrot,,,,,,,,,,,,,
,JUNI TAISEN：ZODIAC WAR,FALL,Action,Thriller,,Seinen,Graphinica,,,,,,,,,,,,,
,Juushin Liger,SPRING,Action,Mecha,Sci-Fi,Shounen,Sunrise,,,,,,,,,,,,,
,K,FALL,Action,Mystery,Supernatural,Seinen,GoHands,,,,,,,,,,,,,
,K-ON!,SPRING,Comedy,Music,Slice of Life,Seinen,Kyoto Animation,,,,,,,,,,,,,
,Guardian Ninja Mamoru,WINTER,Comedy,Romance,Action,Shounen,Group TAC,,,,,,,,,,,,,
,The Eminence in Shadow,FALL,Action,Comedy,Fantasy,Seinen,Nexus,,,,,,,,,,,,,
,Kageki Shojo!!,SUMMER,Drama,Slice of Life,,Shoujo,PINE JAM,,,,,,,,,,,,,
,Kaguya-sama: Love is War,WINTER,Comedy,Psychological,Romance,Seinen,A-1 Pictures,,,,,,,,,,,,,
,Dr. Ramune -Mysterious Disease Specialist-,WINTER,Drama,Psychological,Supernatural,Shounen,Platinum Vision,,,,,,,,,,,,,
,Princess Resurrection,SPRING,Action,Comedy,Horror,Shounen,MADHOUSE,,,,,,,,,,,,,
,Maid-Sama!,SPRING,Comedy,Drama,Romance,Shoujo,J.C.STAFF,,,,,,,,,,,,,
,Steam Detectives,FALL,Action,Mecha,Mystery,Shounen,Xebec,,,,,,,,,,,,,
,Chillin’ in My 30s after Getting Fired from the Demon King’s Army,WINTER,Fantasy,Romance,Slice of Life,Seinen,Encourage Films,,,,,,,,,,,,,
,Mysterious Joker,FALL,Mystery,Comedy,,Shounen,Shin-Ei Animation,,,,,,,,,,,,,
,Mysterious Thief Saint Tail,FALL,Adventure,Fantasy,Magical Girl,Shoujo,Tokyo Movie Shinsha,,,,,,,,,,,,,
,Kakegurui,SUMMER,Drama,Mystery,Psychological,Shounen,MAPPA,,,,,,,,,,,,,
,A Couple of Cuckoos,SPRING,Comedy,Romance,,Shounen,Shin-Ei Animation,,,,,,,,,,,,,
,Valvrave the Liberator,SPRING,Action,Mecha,Sci-Fi,Seinen,Sunrise,,,,,,,,,,,,,
,Kakushigoto,SPRING,Comedy,Slice of Life,,Shounen,Ajiado,,,,,,,,,,,,,
,The World God Only Knows,FALL,Comedy,Romance,Supernatural,Shounen,Manglobe,,,,,,,,,,,,,
,By the Grace of the Gods,FALL,Adventure,Fantasy,Slice of Life,Shounen,Maho Film,,,,,,,,,,,,,
,Kamichama Karin,SPRING,Comedy,Fantasy,Magical Girl,Shoujo,Satelight,,,,,,,,,,,,,
,Kamichu!,SUMMER,Comedy,Slice of Life,Supernatural,Seinen,Brain's Base,,,,,,,,,,,,,
,Kamigami no Asobi,SPRING,Fantasy,Romance,Supernatural,Josei,Brain's Base,,,,,,,,,,,,,
,Kamikaze Kaitou Jeanne,WINTER,Action,Adventure,Comedy,Shoujo,Toei Animation,,,,,,,,,,,,,
,KamiKatsu: Working for God in a Godless World,SPRING,Action,Comedy,Drama,Seinen,Studio Palette,,,,,,,,,,,,,
,Kamisama Dolls,SUMMER,Action,Supernatural,,Seinen,Brain's Base,,,,,,,,,,,,,
,Kamisama Kiss,FALL,Comedy,Fantasy,Romance,Shoujo,TMS Entertainment,,,,,,,,,,,,,
,God Family,SPRING,Comedy,Drama,Fantasy,Seinen,Toei Animation,,,,,,,,,,,,,
,Sunday Without God,SUMMER,Adventure,Drama,Fantasy,Seinen,MADHOUSE,,,,,,,,,,,,,
,Heaven's Memo Pad,SUMMER,Mystery,Drama,,Seinen,J.C.STAFF,,,,,,,,,,,,,
