Name,Max Players,Play Time,Min Age,Rating Average,Complexity Average,Mechanics,no. of mechanics
1862: Railway Mania in the Eastern Counties,8,300,14,8,1313, Simulation,2
1865: Sardinia,4,240,14,7,4695,Action Queue,14
1866: The Struggle for Supremacy in Germany,2,300,14,6,7485,Chit-Pull System,10
1867: Railways of Canada,6,360,12,7,8918,Auction/Bidding,1
1876: Trinidad,5,120,14,6,13608,Network and Route Building,3
1879: US Pacific Northwest,5,150,12,6,8517,Chit-Pull System,5
1880: China,7,300,13,8,2523,Hand Management,2
1882: Assiniboia,6,180,14,8,3084,Tile Placement,2
1883: Building Railroads in Northern Italy,4,300,12,7,10352,Auction/Bidding,2
1889: History of Shikoku Railways,6,210,14,8,896, Cooperative Game,5
1893: Cologne,4,240,0,7,8757,Dice Rolling,7
1895 Namibia,3,180,12,6,9466,Cooperative Game,8
18Africa,7,240,12,7,8984,Grid Movement,3
18AL,5,180,14,7,2261,Action Points,17
18Ardennes,5,300,14,7,6799,Area Majority / Influence,5
18C2C: Manifest Destiny,6,600,14,7,5911,Dice Rolling,4
18Chesapeake,6,180,13,7,1364,Dice Rolling,4
18CLE,6,270,18,7,10019,Auction/Bidding,1
18CZ,6,250,12,7,1978,Tile Placement,2
18Dixie with 18MS and 18GA,6,150,12,7,8196,Card Drafting,6
18EU,6,300,14,7,2870, Role Playing,2
18EZ,6,60,0,6,12035,Hand Management,5
18FL,4,150,12,7,5391,Action Points,7
18GA,5,240,14,7,4699,Card Drafting,4
18GB: The Railways of Great Britain,6,300,12,7,8060,Network and Route Building,1
18GL,6,300,14,7,6320,Auction/Bidding,5
18Ireland,6,240,12,7,4386,Dice Rolling,10
18Lilliput,4,90,10,7,2189,Abstract Games,1
18MEX,5,210,14,7,2311,Hexagon Grid,2
18NEB,4,180,12,7,5031,Dice Rolling,4
18NL,6,180,14,7,9606,Contracts,8
18NY,6,300,12,7,6195,Cooperative Game,2
18OE: On the Rails of the Orient Express,8,720,14,8,3191,Action Queue,2
18PA,5,180,0,7,9776,Cooperative Game,10
18Rhl: Rhineland,6,240,14,7,8082,Action Points,7
18Ruhr,6,300,0,7,8496,Network and Route Building,1
18Scan,4,180,12,7,4125,Modular Board,5
18TN,5,180,14,6,8877,Auction/Bidding,9
18US,6,240,14,6,12055,Cooperative Game,7
18VA,5,210,14,7,5620,Hand Management,4
18West,6,360,14,7,8193,Network and Route Building,4
1906 San Francisco,4,60,12,7,2923, Dice Rolling,5
1911 Amundsen vs Scott,2,20,12,6,2723, Secret Unit Deployment,2
1914: Germany at War,3,200,14,8,8095,Dice Rolling,4
1914: Glory's End,2,180,12,6,9049,Paper-and-Pencil,3
1914: Glory's End / When Eagles Fight,2,240,0,7,5456,Dice Rolling,4
