Name,Max Players,Play Time,Min Age,Rating Average,Complexity Average,Mechanics,no. of mechanics
Der dreizehnte Holzwurm,6,45,8,6,11616,Dice Rolling,4
Der Feuersalamander,4,30,10,5,13402,Auction/Bidding,10
Der Fliegende Holländer,6,60,12,6,7668,Action Points,4
Der Garten des Sonnenkönigs,5,60,10,5,14087,Pattern Building,2
Der geheimnisvolle Zaubersee,5,15,5,6,12859,Cooperative Game,3
Der Goldene Kompass,4,60,10,5,17203,Card Drafting,5
Der grosse Gallier,6,60,10,5,16422,Hand Management,4
Der HeidelBÄR,6,20,10,6,9623,Dice Rolling,5
Der Herr der Ringe: Die Gefährten,4,60,10,4,19685, Player Elimination,3
Der Herr der Ringe: Die Gefährten - Das Kartenspiel,4,45,9,6,8994,Hand Management,3
Der Herr der Ringe: Die Rückkehr des Königs,4,60,10,5,16598,Area Majority / Influence,9
Der Herr der Ringe: Die Zwei Türme,4,60,10,5,13825,Chit-Pull System,4
Der Herr der Ringe: Die Zwei Türme - das Kartenspiel,5,30,9,5,12758, Variable Player Powers,1
Der Herr der Wichtel,5,45,10,5,18026,Pattern Building,3
Der Hobbit: Eine unerwartete Reise - Das Spiel zum Film,4,60,10,5,13797,Area Movement,6
Der Hobbit: Smaugs Einöde,4,60,10,6,15056,Commodity Speculation,8
Der Millionen Coup,4,40,8,6,11098,Cooperative Game,1
Der Palast von Eschnapur,4,60,10,5,15832,Dice Rolling,11
Der Pate,4,60,12,6,5708,Set Collection,1
Der Perfekte Moment,4,90,10,7,8695,Drafting,6
Der Prestel Kunstmarkt,5,30,10,6,11711,Dice Rolling,5
Der Prestel Schlossgarten,4,45,9,5,15611,Hand Management,5
Der Schattendieb,7,30,8,4,19729,Action Queue,3
Der Schatz der 13 Inseln,4,20,6,6,12210,Cooperative Game,8
Der Schatz der Inka,6,60,8,4,20005,Area Majority / Influence,3
Der Schatz von Castellina,4,15,5,6,11560,Memory,3
Der schwarze Pirat: Das Duell,2,10,5,5,17690,Point to Point Movement,4
Der unendliche Fluss,4,15,6,5,12341,Roll / Spin and Move,3
Der wahre Walter,10,60,0,7,5901,Area Majority / Influence,5
Der Weg nach Drakonia,6,90,8,5,16577,Dice Rolling,5
Deranged,6,180,12,7,9697,Hand Management,7
Derby,5,60,0,6,14631,Dice Rolling,13
Derby Days,4,20,6,4,18241,Roll / Spin and Move,2
Des chiffres et des lettres,4,30,8,5,12359,Campaign / Battle Card Driven,5
Descent on Crete: May 1941,2,240,14,5,15044,Auction/Bidding,2
Descent: Journeys in the Dark,5,240,13,7,377, Hand Management,5
Descent: Legends of the Dark,4,180,14,5,18426,Cooperative Game,4
Desert Bazaar,5,45,10,5,14199,Crayon Rail System,5
Desert Duel: First Alamein,2,180,0,6,14310,Card Drafting,5
Desert Fox Deluxe,2,2880,14,7,10552,Family Games,2
Desert Island,6,60,8,6,9728,Role Playing,6
Desert Steel,2,240,12,6,7593,Action Queue,4
Desert Storm: The Mother of All Battles,2,180,13,5,14345,Dice Rolling,4
Desert War: Tactical Warfare in North Africa,4,180,12,5,16486,Action Points,10
Desktop HEBOCON Battle Kit,4,40,6,6,12225,Tile Placement,2
Desktopia,4,10,7,5,15536,Variable Player Powers,7
Desperados,6,90,12,6,7131,Dice Rolling,6
Desperados of Dice Town,4,25,8,6,4660,Area Majority / Influence,7
Destination London,6,60,10,4,18434,Area Majority / Influence,8
Destination X,10,40,10,6,5551, Deck Bag and Pool Building,4
Destination: Neptune,4,90,12,6,10259,Dice Rolling,2
Destinies,3,150,14,7,8790,Dice Rolling,1
Destiny Aurora: Renegades,4,180,12,7,13884,Area Majority / Influence,9
Destroy BCN!,4,30,10,5,17557,Hand Management,5
Destroyer Captain,6,90,12,7,10052,Dice Rolling,3
Destruct 3,4,60,8,5,18560,Dice Rolling,3
Destruction of Army Group Center: The Soviet Summer Offensive,2,150,12,5,14475,Hand Management,2
Det dårlige selskab,16,30,16,6,9937,Auction/Bidding,4
Detective Club,8,45,8,7,1148,Dice Rolling,1
Detective Stories: Case 1 - The Fire in Adlerstein,5,120,13,7,3293,Area Majority / Influence,4
"Detective Stories: Demo ""Gattardo""",5,45,13,7,10881,Children's Games,1
Detective Stories: Fall 3 - Stillsee,6,270,13,7,7647,Auction/Bidding,4
Detective: A Modern Crime Board Game,5,180,16,7,152,Simulation,1
Detective: A Modern Crime Board Game - Season One,5,120,12,7,3433,Cooperative Game,1
Detective: City of Angels,5,150,14,8,1070, Hand Management,2
Deterrence,2,45,14,6,14089,Card Drafting,9
Deterrence 2X62,2,30,14,6,10165,Dice Rolling,2
DETHRONED: The Real-Time Combat Card Game,8,60,14,7,13055,Auction/Bidding,3
Detroit-Cleveland Grand Prix,6,60,8,6,2318,Betting and Bluffing,3
Deuce,6,20,8,5,17600,Card Drafting,2
Deukalion,4,60,10,5,10050,Action Queue,5
Deus,4,90,14,7,388,Wargames,1
Deus Ex Machina,4,45,10,6,9865,Chit-Pull System,5
Deus lo Vult,4,120,14,7,11852,Area Movement,2
Deus Vult!,2,30,10,5,18498,Hand Management,5
Deutschland: Finden Sie Minden,5,45,6,6,6161,Hand Management,1
Deutschlandreise,6,45,9,4,20146, Modular Board,4
Devil Boats: PT Boats in the Solomons,1,60,14,7,10077,Trick-taking,1
Devil Bunny Hates the Earth,5,20,10,4,20124,Grid Movement,3
Devil May Cry: The Bloody Palace,4,90,14,8,9941,Action Queue,3
Devil Take the Hindmost,6,30,8,6,5820,Pattern Building,3
Devil's Den,2,360,12,6,6787,Cooperative Game,5
Devil's Horsemen,2,240,12,7,4560,Cooperative Game,4
Devil's Run: Route 666,6,30,12,8,7746,Dice Rolling,5
Devils & Black Sheep,4,45,0,6,15758,Deck Bag and Pool Building,1
Dexikon,5,45,8,6,8827,Deck Bag and Pool Building,2
Dexter: The Board Game,4,30,17,4,19485,Action Queue,10
Di Renjie,6,30,10,6,10505,Dice Rolling,4
Dia de los Muertos,6,15,12,5,14286,Trick-taking,2
Diaballik,2,20,8,6,8531,Dice Rolling,2
Diabolo,5,30,8,5,16768,Hand Management,4
Diam,4,10,8,6,9973,Campaign / Battle Card Driven,6
Diam's,5,20,7,5,18009,Contracts,19
Diamant,8,30,8,6,719,Hexagon Grid,3
Diamonds Club,4,75,10,7,1403, Network and Route Building,1
Diamoniak,4,15,5,5,19026,Push Your Luck,3
Diamonsters,6,20,10,5,17655,Tile Placement,1
Diary of a Wimpy Kid: Cheese Touch,6,40,8,4,18939,Betting and Bluffing,2
Diary of a Wimpy Kid: Zoo-Wee Mama Card Game,6,20,7,5,17675,Trick-taking,4
Días de Radio,4,20,14,7,7103,Area Majority / Influence,8
Diáspora,24,600,10,6,6333,Area Movement,7
Diavolo,6,15,10,6,7074,Hexagon Grid,2
Dibs,12,60,12,7,10632,Cooperative Game,4
Dice & Dragons,5,30,8,5,14624,Cooperative Game,3
Dice Academy,6,15,8,6,10559,Dice Rolling,3
Dice Age: The Hunt,4,30,8,6,8076,Dice Rolling,5
Dice Bazaar,4,40,6,6,13417,Simultaneous Action Selection,4
Dice Brewing,4,45,12,6,5627,Dice Rolling,4
Dice City,4,60,14,6,1132,Dice Rolling,3
Dice Crawl,4,30,10,5,13939,Dice Rolling,4
Dice Devils,6,30,8,5,19206,Betting and Bluffing,3
Dice Drivin',5,30,6,6,6925,Action Points,5
Dice Fishing: Roll and Catch,5,20,8,6,5174,Hand Management,3
Dice Forge,4,45,10,7,336,Memory,3
Dice Heist,5,20,14,6,5624,Dice Rolling,1
Dice Hospital,4,90,10,7,840, Take That,1
Dice Masters,2,35,14,9,7874,Area Majority / Influence,6
Dice of Arkham,1,20,0,6,15491,Dice Rolling,6
Dice of Crowns,6,20,8,6,6856,Abstract Games,1
Dice of Pirates,6,30,9,6,12881,Dice Rolling,2
Dice of the Living Dead,1,15,8,6,11927,Hand Management,5
Dice Run,6,30,10,5,8151,Dice Rolling,6
Dice Settlers,4,60,14,7,1307,Action Points,4
Dice Stars,4,25,10,6,2472,Cooperative Game,1
Dice Summoners,2,60,0,6,14241,Card Drafting,1
Dice Throne,6,40,8,7,2075,Hexagon Grid,3
Dice Town,5,45,10,6,872,Role Playing,2
Dice Upon a Time,5,60,10,7,8305, Dice Rolling,4
Dice Wars: Heroes of Polyhedra,4,90,14,6,14451,Dice Rolling,5
Dice's Zoo,4,5,6,5,15450,Chit-Pull System,7
DiceAFARI,4,15,8,5,16273,Dice Rolling,9
Diceball!,2,45,8,5,16588, Hand Management,6
Diceborn Heroes,4,90,10,6,8247,Party Games,1
DiceBot MegaFun,4,30,14,5,16913,Dice Rolling,2
Dicecapades! Kerfuffle!,4,30,8,5,17288,Dice Rolling,1
Diceland,2,30,10,5,14726,Dice Rolling,2
Diceland: Cyburg,3,20,10,6,12441,Hand Management,5
Diceland: Deep White Sea,5,20,10,6,5974,Area Movement,3
Diceland: Dragons,4,20,10,6,12841,Area Movement,3
Diceland: Ogre,2,10,10,6,9933,Hexagon Grid,2
Diceland: Space,8,20,10,6,7401,Variable Player Powers,3
Dicenstein,4,90,14,6,11103,Connections,4
Dicetopia,4,30,14,6,4648,Action Points,4
DiceWar: Light of Dragons,2,30,12,7,6640,Dice Rolling,3
DiceWar: Roots of Mali Standalone,2,30,12,7,11163,Area Movement,3
Dicey Goblins,6,45,10,5,10954,Action Points,7
Dicey Peaks,6,50,8,6,9378,Catch the Leader,1
Dicht dran,5,20,8,6,6798,Area Majority / Influence,6
Dicium,4,60,8,6,7473,Modular Board,2
Dicke Dämonen,4,20,10,6,7911, Team-Based Game,2
Dictator. Control,4,30,0,5,15808,Card Drafting,7
Dictionary Dabble,14,60,10,6,13231,Memory,6
Dicycle Race,6,20,7,6,11377,Dice Rolling,1
Die die DIE,5,35,8,7,11978,Area Majority / Influence,1
Die Hard: The Nakatomi Heist Board Game,4,90,15,6,7125,Hexagon Grid,3
DIE in the Dungeon!,2,60,12,7,13196,Dice Rolling,2
Diesel Demolition Derby,6,30,14,6,10849,Area Majority / Influence,3
Difference,6,20,6,5,17909,Set Collection,2
Difference Junior,6,20,4,6,15210,Pattern Recognition,1
Differix,6,20,5,4,18476,Pattern Recognition,2
DIG,4,10,10,6,4365,Pick-up and Deliver,2
Dig Down Dwarf,4,15,8,6,7107,Auction/Bidding,4
DIG IT UP,5,25,7,5,17792,Dice Rolling,2
Dig Mars,4,30,8,6,8688,Area Majority / Influence,4
Dig Your Way Out,6,45,14,7,3760,Dice Rolling,11
Digger,5,15,8,5,14490,Dice Rolling,2
Diggity Dog,4,15,3,5,18768,Memory,3
Digimon Digi-Battle Card Game,2,60,8,5,18935,Action Points,4
Digimon Digital Monsters,6,45,8,4,18726,Campaign / Battle Card Driven,1
Digit,4,20,8,5,16617, Voting,1
Dilbert: Corporate Shuffle,6,15,10,5,6307, Dice Rolling,4
Dilbert: Escape from Cubeville,4,20,13,4,18651,Area Majority / Influence,5
Dilbert: The Board Game,6,90,14,5,16653,Dice Rolling,3
Dilluvia Project,4,120,12,7,2633,Pick-up and Deliver,3
Dim Sum Jam,5,15,8,6,13392,Cooperative Game,4
Dimension,4,30,8,6,1815,Deck Bag and Pool Building,5
Dimension Demons,2,60,12,5,18110,Dice Rolling,3
Dimenticato,4,20,6,6,15733,Modular Board,5
Dindons & Dragons,6,30,10,3,19258,Card Drafting,9
Diner,4,15,13,6,6630,Hexagon Grid,3
Ding!,8,30,8,5,17407,Hexagon Grid,3
Dingo,7,10,6,4,18634,Set Collection,1
Dingo's Dreams,4,30,8,6,4250,Hand Management,3
Dinner In Paris,4,60,8,8,7873,Area Movement,4
Dino,6,30,10,5,17554,Dice Rolling,7
Dino Battle,5,30,8,5,15802,Action Points,10
Dino Detektive,4,60,0,6,13242,Commodity Speculation,3
Dino Dice,6,10,8,5,17434,Family Games,2
Dino Dude Ranch,5,40,8,7,6493,Campaign / Battle Card Driven,8
Dino Duel,10,30,7,6,14201,Dice Rolling,1
Dino Dunk,4,45,9,7,11132,Flicking,2
Dino Hunt,4,60,8,5,19461,Grid Movement,3
Dino Hunt Dice,8,10,6,5,8837,Hand Management,3
Dino Party,6,20,6,5,16150,Modular Board,2
Dino Race,4,30,8,6,5975,Abstract Games,1
Dino Twist,6,20,7,6,8728,Abstract Games,2
Dino World,4,15,6,6,10947,Roll / Spin and Move,3
Dinoblivion,2,45,12,7,4570,Deck Bag and Pool Building,5
DinoGenics,5,120,14,7,874,Dice Rolling,4
Dinosaur Chess,2,60,8,7,11605,Auction: Sealed Bid,7
Dinosaur Dice,4,10,4,5,16339,Communication Limits,5
Dinosaur Escape,4,20,4,5,15836,Cooperative Game,3
Dinosaur Island,4,120,8,7,133, Cooperative Game,7
Dinosaur Table Battles,2,45,0,7,9968,Dice Rolling,2
Dinosaur World,4,120,10,7,7961,Card Drafting,2
Dinosaurs Extinct?,4,40,5,5,18108,Roll / Spin and Move,1
Dinosaurs of the Lost World,4,90,8,6,4716,Auction/Bidding,3
Diplomacy,7,360,12,7,605,Area Movement,3
Diplomacy: Classical Variant,5,360,12,7,11718,Area Majority / Influence,6
Dipole,2,30,0,5,16485,Flicking,3
Direwild,4,90,13,7,3315,Area Movement,4
Dirge: Carnage in Crimson,2,30,0,7,11840,Cooperative Game,8
Dirigible Disaster,5,40,8,7,8904,Area-Impulse,3
Dirtside II,4,120,12,7,6104,Point to Point Movement,3
Dirty Fridge,6,15,8,8,10350,Area Majority / Influence,5
Disaster Looms!,4,90,10,5,13453,Campaign / Battle Card Driven,7
Disaster on Everest,1,60,13,6,8770,Hand Management,3
Disaster on K2,2,60,13,6,11181,Area Movement,5
Disastles,5,50,10,7,12943, Card Drafting,2
Disc Duelers,21,45,10,6,4426, Simulation,2
Discount Salmon,5,10,8,5,16535,Hand Management,2
Discover India,5,45,8,5,16803,Action Queue,6
Discover: Lands Unknown,4,120,12,5,5151,Dice Rolling,4
Discovery,2,45,12,5,11350,Card Drafting,3
Discovery: The Era of Voyage,4,45,8,6,6332,Hexagon Grid,2
Discretion,8,120,13,6,11712,Auction/Bidding,3
Discworld: Ankh-Morpork,4,60,11,7,461,Area Movement,3
Diskwars,8,90,10,5,7718,Network and Route Building,3
Diskwars: Legend of the Five Rings,6,45,12,5,17658,Dice Rolling,9
Disney Apples to Apples,8,15,7,5,15121,Hand Management,5
Disney Eye Found It!,6,30,4,5,16966,Cooperative Game,1
Disney Eye Found It!: Hidden Picture Card Game,10,20,3,6,12660,Pattern Recognition,1
Disney Hocus Pocus: The Game,6,30,8,6,8295,Card Drafting,3
Disney Pictionary DVD Game,20,35,7,4,18525,Line Drawing,3
Disney Tsum Tsum Bubble Fever,4,15,6,5,17756,Card Drafting,2
Disney Villainous,6,50,10,7,635,Deck Bag and Pool Building,4
Disney Villainous: Evil Comes Prepared,3,60,10,7,915,Abstract Games,1
Disney Villainous: Perfectly Wretched,3,60,10,7,1400,Acting,3
Disney Villainous: Wicked to the Core,3,60,10,7,800, Storytelling,1
Disney: The Haunted Mansion - Call of the Spirits Game,6,30,9,7,4828,Cooperative Game,7
Disorder,6,40,10,5,18101,Memory,2
Disposable Heroes and Coffin For Seven Brothers: Infantry and Vehicle Small Unit Skirmish Wargaming in WWII,2,120,12,7,8324, Set Collection,3
Distant Seas: The Merchant Marine Game,4,120,12,5,17572,Pick-up and Deliver,1
Distraction,6,10,8,5,15406,Hand Management,5
District-Z,8,30,12,5,14342,Set Collection,1
Distrito 21,2,30,9,6,15161,Action Queue,8
Disturbed Friends,10,90,18,5,19431,Dice Rolling,7
Ditto,6,30,8,5,17268,Paper-and-Pencil,1
Dive! Diver! Die!,5,45,12,6,10712,Deck Bag and Pool Building,5
Divided Republic,4,180,16,6,5794,Card Drafting,3
Dividends,12,30,12,5,17915,Action Points,4
Divinare,4,30,13,6,2014,Events,4
Divinity Derby,6,90,10,6,4122,Hand Management,2
Division: Throne Room,2,90,13,6,14765,Dice Rolling,2
Divorce! The Game,2,20,17,6,13907,Cooperative Game,6
Divvy Dice,4,30,8,7,2793,Card Drafting,4
Dixie: Bull Run,2,60,12,6,5992,Enclosure,3
Dixie: Gettysburg,2,60,12,6,7231,Set Collection,1
Dixie: Shiloh,2,60,12,6,7614,Area Movement,9
Dixie: The Second War Between the States,2,120,12,4,19906,Dice Rolling,4
Dixit,6,30,8,7,278,Auction/Bidding,2
Dixit Jinx,6,15,8,5,7091,Tile Placement,1
Dixit: Journey,6,30,8,7,516,Hand Management,1
Dixit: Odyssey,12,30,8,7,215,Children's Games,1
Dizios,4,30,6,5,14746,Area Majority / Influence,4
Dizzle,4,30,8,6,2287,Card Drafting,4
Dizzy Dizzy Dinosaur,4,10,5,5,19378,Hand Management,2
Djam,6,15,10,5,15361,Dice Rolling,1
Djambi,4,60,0,7,10482,Area Majority / Influence,5
Djinn,4,40,10,5,15622,Area Majority / Influence,3
DMZ: The Next Korean War,2,60,12,5,15976,Dice Rolling,10
Do De Li Do,6,20,8,6,3503,Acting,2
Do Not Forsake Me (Oh My Darling),1,30,10,5,15507,Card Drafting,5
Do You Worship Cthulhu?,30,30,12,5,15354,Acting,2
Dobbers: Quest for the Key,4,120,11,6,11239,Auction/Bidding,9
Docker,4,5,8,5,16227,Modular Board,4
Doctor Esker's Notebook,6,180,13,7,11169,Cooperative Game,3
Doctor Faust,2,45,12,5,17836, Set Collection,2
Doctor Who Collectible Card Game,2,30,10,3,20093,Action Points,7
Doctor Who Fluxx,6,30,8,6,4011,Action Queue,10
Doctor Who: Battle for the Universe,4,45,10,4,18812,Roll / Spin and Move,4
Doctor Who: Exterminate! The Miniatures Game,4,60,12,7,12591,Cooperative Game,2
Doctor Who: The Card Game,4,60,13,5,8644,Hand Management,2
Doctor Who: The Game of Time & Space,6,90,8,5,18464, Dice Rolling,2
Doctor Who: Time Clash - Starter Set,4,20,14,5,17831,Deck Bag and Pool Building,2
Doctor Who: Time of the Daleks,4,120,14,7,2707, Tile Placement,1
Dodekka,6,20,6,6,7156,Hand Management,4
Dodge City,5,60,8,5,16558,Network and Route Building,5
Dodge Dice,6,15,8,5,15961,Dice Rolling,5
Dodoresque,4,30,8,5,17214,Card Drafting,3
Dodos Riding Dinos,6,20,8,9,11149,Dice Rolling,2
DOG,6,45,9,6,3048, Grid Movement,5
DOG Cards,4,20,8,5,14393,Hand Management,4
Dog Dice,4,10,5,5,17988,Dice Rolling,5
Dog Eat Dog,6,90,12,5,19143,Simulation,3
Doge,4,45,12,6,3510,Hand Management,4
Dogfight,4,45,10,6,5467,Critical Hits and Failures,3
DogFight WW1,2,30,8,3,20122,Hand Management,4
Doggie Doo,5,20,4,4,20055,Dice Rolling,2
Doggy Bag,6,45,8,6,10570,Dice Rolling,10
Doggy GO!,4,15,6,5,14509,Set Collection,2
Dogs,4,60,10,6,3984,Area Majority / Influence,3
Dollars to Donuts,4,45,8,7,9654,Grid Coverage,1
Dolly Crush,4,20,7,6,14495,Grid Movement,3
Dolmen,4,30,10,6,7529,Grid Movement,8
Domain,2,15,8,6,9841,Card Drafting,1
Domain: The Warlock's Challenge,4,120,12,5,17583,Network and Route Building,1
Domaine,4,60,12,7,899,Paper-and-Pencil,1
Dome Crushers,2,10,14,6,10423,Hexagon Grid,2
Dominant Species,6,240,14,7,67,Hand Management,4
Dominare,6,120,12,6,2639,Auction/Bidding,3
Dominate Grail War: Fate/Stay night on Board Game,7,30,14,6,14824,Area Majority / Influence,9
Domination,4,30,8,4,19075,Card Drafting,6
Dominations: Road to Civilization,4,120,13,7,2118,Dice Rolling,3
Dominion,4,30,13,7,98,Dice Rolling,4
Domino Dice,6,20,6,5,17391,Hexagon Grid,2
Dominoes,10,30,5,5,19801,Hand Management,3
Domus Domini,6,120,12,6,7655,Card Drafting,4
Don Capollo,6,45,14,6,8881, Enclosure,4
Don Pepe,6,30,8,6,5698,Auction/Bidding,3
Don Peperoni,5,45,8,4,18807,Auction/Bidding,7
Don Quixote,4,20,8,6,5395,Hand Management,2
Don't  Quote Me,5,60,14,5,16951,Memory,3
Don't Break the Ice,4,20,3,4,20287,Alliances,2
Don't Drop the Soap,6,15,18,5,19302,Hand Management,2
Don't Get Got!,10,1440,14,7,2783, Set Collection,1
Don't Let It Die,4,90,10,7,10698,Action Points,2
Don't Let the Pigeon Drive the Bus Game!,4,20,3,4,18683,Grid Movement,3
Don't Mess with Cthulhu,6,30,10,6,2006,Auction/Bidding,3
Don't Mess with Cthulhu Deluxe,8,30,10,7,3630,Grid Movement,1
Don't Panic!,8,20,8,5,17787,Dice Rolling,2
Don't Spill the Beans,4,10,3,4,20258, Hand Management,1
Don't Turn Your Back,4,60,13,6,4668, Pattern Recognition,1
Don't Wake Daddy,4,20,3,4,20244,Set Collection,2
Don't Wake the Dragon!,4,20,5,5,18160,Action Queue,13
Don't You Forget It,2,30,8,5,16935,Betting and Bluffing,4
Donkey Derby,5,35,9,6,15484,Betting and Bluffing,6
Donkey Kong,4,20,7,5,18742,Action Points,11
Donkey: It's a Kick!,8,45,8,6,12692,Card Drafting,1
Donner Dinner Party,10,60,12,6,6054, Grid Movement,4
Donning the Purple,3,90,14,7,3122,Action Points,3
Doodle China,5,40,8,6,10202,Line Drawing,4
Doodle City,6,30,8,6,3787, Cooperative Game,6
Doodle Dice,6,30,6,5,15909,Dice Rolling,7
Doodle Islands,5,40,10,6,11218,Hand Management,3
Doodle Jump,4,20,8,5,17777,Dice Rolling,1
Doodle Quest,4,15,6,6,2934,Area Movement,5
Doodle Rush,6,15,10,6,5997,Action Timer,6
Doolittle & Waite,8,30,0,6,11862,Hand Management,3
Doom and Bloom SURVIVAL!,4,40,12,5,17710,Contracts,4
Doom of the Eldar,2,120,12,6,6989,Auction/Bidding,2
Doom Realm,1,45,12,7,9468,Hand Management,3
DOOM: The Board Game,5,180,14,7,1263, Campaign / Battle Card Driven,3
Doomseeker,4,60,14,5,13669,Action Points,7
Doomtown: Reloaded,4,30,12,7,1210,Hand Management,2
Doomtrooper,7,60,10,5,18280,Action Points,6
Doorways to Adventure,6,60,10,5,16582,Network and Route Building,3
Doppel X,8,20,8,5,17511,Dice Rolling,3
Dork Tower,6,60,12,5,9677,Memory,2
Dots,6,20,10,4,19286, Player Elimination,1
Double Agent,2,20,9,5,11375,Dice Rolling,2
Double Crossing,6,60,0,5,17342,Cooperative Game,5
Double Double Dominoes,4,45,8,5,15625,Auction/Bidding,8
Double Feature,10,35,10,5,12901,Auction/Bidding,6
Double or Nothing,6,20,10,5,11128,Campaign / Battle Card Driven,5
Double Quick,4,20,8,7,11211,Hand Management,6
Double Shutter,4,15,8,5,11522,Dice Rolling,5
Double Star,2,600,12,6,15122, Pattern Recognition,2
Double Trouble,4,20,5,4,18781,Roll / Spin and Move,1
Doubles Wild,4,30,8,6,14807,Dice Rolling,15
Doubletrack,4,45,8,5,18356,Communication Limits,4
Doughnut Drive-Thru,4,30,10,6,8333,Action Points,4
Douro 1872,5,25,7,7,10704,Card Drafting,9
Dover Patrol,2,180,12,6,13927,Memory,3
Down in Flames: Aces High,6,45,0,7,4482,Set Collection,3
Down in Flames: Locked-On,6,30,10,7,6405,Dice Rolling,3
Down in Flames: WWII-Guns Blazing,6,30,12,7,6628,Action Points,2
Down Under,4,30,0,5,15993,Dice Rolling,2
Down with the King,6,120,12,5,11399,Hand Management,1
Downfall,6,150,14,6,8271, Variable Player Powers,1
Downforce,6,40,10,7,358,Action Queue,6
Downsize,6,40,10,6,9146,Action Points,6
Downspin,2,30,7,5,17636,Action Points,3
Downtown,4,90,12,6,13990,Action Queue,5
Doxie Dash,6,30,6,6,12577,Betting and Bluffing,2
Dr. Beaker,4,15,8,6,12169,Pattern Recognition,1
Dr. Eureka,4,15,8,6,1580,Semi-Cooperative Game,3
Dr. Gomb,5,45,8,5,17151,Hand Management,5
Dr. Hrubec,5,40,13,5,16628,Auction/Bidding,8
Dr. McNinja's Legendary Showdown,7,30,12,6,13737,Cooperative Game,5
Dr. Microbe,4,15,8,5,9360,Dice Rolling,2
Dr. Seuss Green Eggs and Ham Game,4,30,4,4,19778,Wargames,1
Dr. Shark,6,45,8,6,6751,Action Points,7
Draco,2,15,6,6,14609,Auction/Bidding,5
Draco & Co,6,60,12,5,17233,Set Collection,3
Draco Magi,2,30,12,6,4428, Rock-Paper-Scissors,2
Draco Mundis,4,45,12,5,11451,Dice Rolling,5
Draconis Invasion,6,90,14,7,4214, Variable Player Powers,1
Dracula,2,30,12,6,3202, Tile Placement,1
Dracula's America: Shadows of the West,8,90,14,8,10392,Campaign / Battle Card Driven,3
Dracula's Feast: New Blood,8,15,10,7,8185,Hidden Roles,1
Dracula's Revenge,2,90,12,5,16128,Roll / Spin and Move,1
Drag Strip!,2,10,5,4,19495,Auction/Bidding,7
Drago Mago,4,20,8,5,17611,Modular Board,3
Drago-Tuku,4,20,5,5,15790,Cooperative Game,4
Dragomino,4,15,5,7,5035,Area Majority / Influence,4
Dragon,4,10,11,4,18425,Card Drafting,3
Dragon Ball Super Card Game,2,60,10,7,7194,Hand Management,2
Dragon Ball Z CCG,2,20,8,5,15512,Set Collection,2
Dragon Ball Z: Perfect Cell,4,45,14,5,15064,Memory,5
Dragon Boats of the Four Seas,4,45,12,7,9704,Campaign / Battle Card Driven,6
Dragon Brew,4,120,13,7,5523,Strategy Games,1
Dragon Chess,2,30,10,7,12380,Grid Movement,8
Dragon Dice,4,30,10,5,8519,Dice Rolling,2
Dragon Face,2,20,8,6,9648,Dice Rolling,5
Dragon Farkle,5,30,13,6,4632,Hand Management,2
Dragon Hunt,2,10,10,5,15723,Dice Rolling,9
Dragon Island,4,60,14,6,10331,Grid Movement,6
Dragon Keepers,6,40,6,6,6135,Dice Rolling,5
Dragon Lairds,5,60,10,6,11952,Family Games,1
Dragon Line,2,20,12,4,19283,Card Drafting,2
Dragon Lords,6,120,10,6,15613,Dice Rolling,1
Dragon Market,4,40,7,6,8002,Auction/Bidding,1
Dragon Master,2,20,8,6,7555,Cooperative Game,3
Dragon Parade,5,30,10,5,7771,Dice Rolling,4
Dragon Pass,3,120,12,6,3997,Dice Rolling,4
Dragon Pets,4,35,8,6,9088,Grid Movement,5
Dragon Punch,2,10,12,6,7459, Memory,2
Dragon Quest,6,60,10,6,8128, Stock Holding,2
Dragon Racer,4,120,13,6,7010,Card Drafting,3
Dragon Rage,2,120,12,6,6040,Secret Unit Deployment,3
Dragon Rampage,5,120,13,6,4504, Paper-and-Pencil,1
Dragon Rampant: Fantasy Wargaming Rules,4,60,0,8,5628,Action Points,8
Dragon Rapid Fire,4,15,3,5,17955,Dice Rolling,2
Dragon Run,5,15,8,6,6739,Secret Unit Deployment,4
Dragon Slayer,5,15,14,5,11035,Action Points,4
Dragon Storm,8,120,0,5,17167,Contracts,5
Dragon Strike,4,90,6,5,14398,Action Points,1
Dragon Teeth Washer,5,15,6,5,13036, Worker Placement,1
Dragon Tides,5,60,13,6,12081,Area Majority / Influence,3
Dragon Valley,4,120,12,6,6116,Cooperative Game,4
Dragon Whisperer,6,30,10,5,16511,Mancala,4
Dragon's Breath,4,20,5,6,2788, Hand Management,3
Dragon's Breath: The Hatching,4,20,6,6,13851,Storytelling,2
Dragon's Hoard,4,45,8,6,2921,Pick-up and Deliver,2
Dragon's Ordeal,6,120,12,5,16040,Hand Management,7
Dragonchess,2,75,8,6,13964,Auction/Bidding,6
Dragonfire,5,60,9,5,14781,Hand Management,2
DragonFlame,5,30,13,6,6310,Network and Route Building,4
Dragonhunt,6,120,12,5,13186,Cooperative Game,7
Dragonlance,6,60,10,5,19278,Wargames,1
Dragonland,4,45,9,6,3845,Grid Movement,3
Dragonmaster,4,30,12,6,3718,Betting and Bluffing,3
Dragonology: The Game,6,60,8,4,20234, Hand Management,2
Dragonrealm,4,30,10,7,4265,Area Majority / Influence,3
Dragonriders,6,90,10,5,20045,Area Majority / Influence,5
